Appendage,Gene,Name,Category,LFC_sex,padj_sex,Sex_bias,LFC_mating,padj_mating,GO_Domain,GO_Name,Chemosensory_family,Dmel_hit,Dmel_gene_symbol,Dmel_protein_description,Dmel_evalue,Dmel_pct_aa_identity,Dmel_query_coverage_pct,Dmel_bitscore,NCBI_gene_name
Antenna,XM_038058112.1,uncharacterized LOC119653484,Sex-dimorphic only,-1.416137348,2.20768000287802e-06,Male-biased,-0.968786382,6.09865686447975e-08,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119653484
Antenna,XM_038059914.1,glycine-rich cell wall structural protein 1.8-like,Sex-and-mating-regulated: direction reinforced by mating,-1.401754846,1.03257950386041e-05,Male-biased,-1.47835294,5.94239711349719e-13,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,glycine-rich cell wall structural protein 1.8-like
Antenna,XM_038048377.1,serine/arginine repetitive matrix protein 1,Sex-dimorphic only,-1.401120972,6.41787222587812e-07,Male-biased,0.250254121,0.759960797,Unknown,Unknown,NA,TRUE,NP_730211.1| uncharacterized protein Dmel_CG32170,NP_730211.1| uncharacterized protein Dmel_CG32170,9.79e-40,52.5,24.2,154.5,serine/arginine repetitive matrix protein 1
Antenna,XM_038053280.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.387117898,1.91825560912687e-06,Female-biased,-0.162766935,0.821813579,Unknown,Unknown,NA,TRUE,NP_723186.2| uncharacterized protein Dmel_CG31638,"NP_723186.2| uncharacterized protein Dmel_CG31638, isoform A",0.00e+00,62.1,69.3,726.9,coiled-coil domain-containing protein 102A
Antenna,XM_038067113.1,glycine-rich cell wall structural protein-like,Sex-dimorphic only,-1.384931133,0.000410253,Male-biased,0.46497798,0.869934952,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,glycine-rich cell wall structural protein-like
Antenna,XM_038053278.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.382365423,4.38913401445565e-07,Female-biased,-0.148963007,0.835323994,Unknown,Unknown,NA,TRUE,NP_723186.2| uncharacterized protein Dmel_CG31638,"NP_723186.2| uncharacterized protein Dmel_CG31638, isoform A",0.00e+00,62.7,61.1,840.5,coiled-coil domain-containing protein 102A
Antenna,XM_038053279.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.382365423,4.38913401445565e-07,Female-biased,-0.148963007,0.835323994,Unknown,Unknown,NA,TRUE,NP_723186.2| uncharacterized protein Dmel_CG31638,"NP_723186.2| uncharacterized protein Dmel_CG31638, isoform A",0.00e+00,62.7,67.6,840.5,coiled-coil domain-containing protein 102A
Antenna,XM_038053281.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.38134322,4.46526999085375e-07,Female-biased,-0.147938286,0.835323994,Unknown,Unknown,NA,TRUE,NP_001097099.1| uncharacterized protein Dmel_CG31638,"NP_001097099.1| uncharacterized protein Dmel_CG31638, isoform B",0.00e+00,75,65.9,755.7,coiled-coil domain-containing protein 102A
Antenna,XM_038053283.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.38134322,4.46526999085375e-07,Female-biased,-0.147938286,0.835323994,Unknown,Unknown,NA,TRUE,NP_001097099.1| uncharacterized protein Dmel_CG31638,"NP_001097099.1| uncharacterized protein Dmel_CG31638, isoform B",0.00e+00,74.4,65.7,745.7,coiled-coil domain-containing protein 102A
Antenna,XM_038064390.1,actin-87E,Sex-dimorphic only,-1.380673479,3.92823231154365e-09,Male-biased,-0.489747087,0.203761656,Unknown,Unknown,NA,TRUE,NP_001287314.1| actin 87E,"NP_001287314.1| actin 87E, isoform C",0.00e+00,100,81.2,786.6,actin-87E
Antenna,XM_038054803.1,"succinate dehydrogenase assembly factor 4, mitochondrial-like",Sex-dimorphic only,-1.37609896,1.25326181887452e-05,Male-biased,0.949518772,0.000611474,Unknown,Unknown,NA,TRUE,NP_001285734.1| Starvation-upregulated protein,"NP_001285734.1| Starvation-upregulated protein, isoform C",5.15e-38,76.3,33,129.4,"succinate dehydrogenase assembly factor 4, mitochondrial-like"
Antenna,XM_038066316.1,tropomyosin-2,Sex-dimorphic only,-1.346736659,1.73285431885176e-06,Male-biased,-0.882010565,1.64846728476825e-05,Unknown,Unknown,NA,TRUE,NP_732013.2| tropomyosin 2,"NP_732013.2| tropomyosin 2, isoform C",2.30e-175,89.1,74,490.3,tropomyosin-2
Antenna,XM_038046717.1,uncharacterized LOC119646301,Sex-dimorphic only,-1.340979104,0.000279129,Male-biased,-0.108120111,0.944412308,Unknown,Unknown,NA,TRUE,NP_001259996.1| uncharacterized protein Dmel_CG15412,"NP_001259996.1| uncharacterized protein Dmel_CG15412, isoform C",0.00e+00,63.1,70.8,624,uncharacterized LOC119646301
Antenna,XM_038065102.1,protein mab-21-like,Sex-dimorphic only,-1.338969457,4.38440624202343e-06,Male-biased,0.02940435,0.981439857,Unknown,Unknown,NA,TRUE,NP_572287.1| uncharacterized protein Dmel_CG4766,NP_572287.1| uncharacterized protein Dmel_CG4766,0.00e+00,82.1,59.8,653.3,protein mab-21-like
Antenna,XM_038058586.1,uncharacterized LOC119653699,Sex-dimorphic only,1.334504057,0.000998837,Female-biased,-0.090878971,0.931482146,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,54,14.5,685.3,uncharacterized LOC119653699
Antenna,XM_038060871.1,uncharacterized LOC119655135,Sex-dimorphic only,-1.333933463,0.000258779,Male-biased,-0.350901631,0.55890479,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119655135
Antenna,XM_038062888.1,zinc finger protein 512B-like,Sex-and-mating-regulated: direction reinforced by mating,-1.330895065,0.000102852,Male-biased,-1.211021563,2.78314063954375e-07,Unknown,Unknown,NA,TRUE,NP_609690.1| Vajk3,NP_609690.1| Vajk3,5.53e-16,36.2,55.5,77,zinc finger protein 512B-like
Antenna,XM_038050420.1,uncharacterized LOC119648648,Sex-dimorphic only,-1.31542642,1.91825560912687e-06,Male-biased,0.136644556,0.846476589,Unknown,Unknown,NA,TRUE,AAL40004.1| SD10415p,AAL40004.1| SD10415p,5.49e-14,32.3,55.9,71.6,uncharacterized LOC119648648
Antenna,XM_038047257.1,uncharacterized LOC119646693,Sex-dimorphic only,-1.303423881,6.4843023347483e-10,Male-biased,0.002758854,0.999568951,Unknown,Unknown,NA,TRUE,NP_001027448.1| juvenile hormone binding protein 10,NP_001027448.1| juvenile hormone binding protein 10,2.53e-60,44.2,54.2,198.7,uncharacterized LOC119646693
Antenna,XM_038058577.1,uncharacterized LOC119653699,Sex-dimorphic only,1.299964676,0.000275066,Female-biased,-0.097030739,0.926004136,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,54,14.5,685.3,uncharacterized LOC119653699
Antenna,XM_038058591.1,uncharacterized LOC119653699,Sex-dimorphic only,1.299964676,0.000275066,Female-biased,-0.097030739,0.926004136,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,54,14.5,685.6,uncharacterized LOC119653699
Antenna,XM_038058600.1,uncharacterized LOC119653699,Sex-dimorphic only,1.299964676,0.000275066,Female-biased,-0.097030739,0.926004136,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,54.3,14.4,691,uncharacterized LOC119653699
Antenna,XM_038058609.1,uncharacterized LOC119653699,Sex-dimorphic only,1.299964676,0.000275066,Female-biased,-0.097030739,0.926004136,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,55.4,14.1,691.4,uncharacterized LOC119653699
Antenna,XM_038058619.1,uncharacterized LOC119653699,Sex-dimorphic only,1.299964676,0.000275066,Female-biased,-0.097030739,0.926004136,Unknown,Unknown,NA,TRUE,NP_001285101.1| uncharacterized protein Dmel_CG43901,"NP_001285101.1| uncharacterized protein Dmel_CG43901, isoform C",0.00e+00,55.1,14,688,uncharacterized LOC119653699
Antenna,XM_038048778.1,uncharacterized transmembrane protein DDB_G0289901-like,Sex-and-mating-regulated: direction reinforced by mating,-1.272418163,0.000142627,Male-biased,-2.040035933,7.77572471556314e-47,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized transmembrane protein DDB_G0289901-like
Antenna,XM_038068502.1,uncharacterized LOC119660112,Sex-dimorphic only,-1.268956401,6.04390383140522e-17,Male-biased,-0.648202109,0.000175943,Unknown,Unknown,NA,TRUE,NP_650423.1| myofilin,"NP_650423.1| myofilin, isoform B",8.82e-116,56.6,79.3,344,uncharacterized LOC119660112
Antenna,XM_038065157.1,uncharacterized protein CG45076,Sex-dimorphic only,-1.268393519,5.16179447085133e-06,Male-biased,-0.298899894,0.431516812,Unknown,Unknown,NA,TRUE,NP_001287274.1| uncharacterized protein Dmel_CG45076,"NP_001287274.1| uncharacterized protein Dmel_CG45076, isoform E",8.13e-39,38.9,36.2,148.7,uncharacterized protein CG45076
Antenna,XM_038065158.1,uncharacterized protein CG45076,Sex-dimorphic only,-1.268393519,5.16179447085133e-06,Male-biased,-0.298899894,0.431516812,Unknown,Unknown,NA,TRUE,NP_001287274.1| uncharacterized protein Dmel_CG45076,"NP_001287274.1| uncharacterized protein Dmel_CG45076, isoform E",5.16e-41,41,35.3,155.2,uncharacterized protein CG45076
Antenna,XM_038066315.1,tropomyosin-2,Sex-dimorphic only,-1.261546255,2.41950572559609e-05,Male-biased,-0.938864958,1.1656957605204e-05,Unknown,Unknown,NA,TRUE,NP_001262592.1| tropomyosin 2,"NP_001262592.1| tropomyosin 2, isoform F",2.09e-175,89.8,63.5,493,tropomyosin-2
Antenna,XM_038054158.1,uncharacterized protein DDB_G0271670,Sex-dimorphic only,-1.252432645,1.40875221808343e-06,Male-biased,0.00074047,0.999732701,Unknown,Unknown,NA,TRUE,NP_724177.1| fondue,"NP_724177.1| fondue, isoform A",1.30e-15,42.7,14,81.6,uncharacterized protein DDB_G0271670
Antenna,XM_038054159.1,uncharacterized protein DDB_G0271670,Sex-dimorphic only,-1.252432645,1.40875221808343e-06,Male-biased,0.00074047,0.999732701,Unknown,Unknown,NA,TRUE,NP_001260570.1| fondue,"NP_001260570.1| fondue, isoform D",1.29e-15,42.7,14.1,81.6,uncharacterized protein DDB_G0271670
Antenna,XM_038054160.1,uncharacterized protein DDB_G0271670,Sex-dimorphic only,-1.252432645,1.40875221808343e-06,Male-biased,0.00074047,0.999732701,Unknown,Unknown,NA,TRUE,NP_724177.1| fondue,"NP_724177.1| fondue, isoform A",1.31e-15,42.7,14.1,81.6,uncharacterized protein DDB_G0271670
Antenna,XM_038054161.1,uncharacterized protein DDB_G0271670,Sex-dimorphic only,-1.252432645,1.40875221808343e-06,Male-biased,0.00074047,0.999732701,Unknown,Unknown,NA,TRUE,NP_724177.1| fondue,"NP_724177.1| fondue, isoform A",1.15e-15,42.7,15.2,81.6,uncharacterized protein DDB_G0271670
Antenna,XM_038069088.1,uncharacterized protein ZK1073.1,Sex-dimorphic only,-1.251010848,2.96146898529243e-05,Male-biased,0.10039263,0.942882695,Unknown,Unknown,NA,TRUE,NP_001163513.1| uncharacterized protein Dmel_CG2082,"NP_001163513.1| uncharacterized protein Dmel_CG2082, isoform G",0.00e+00,79,25.6,576.2,uncharacterized protein ZK1073.1
Antenna,XM_038055802.1,protein yellow-like,Sex-and-mating-regulated: direction reinforced by mating,-1.23320029,1.49563836425675e-06,Male-biased,-1.141477183,5.05263062163672e-07,Unknown,Unknown,NA,TRUE,NP_001285947.1| yellow-c,"NP_001285947.1| yellow-c, isoform B",0.00e+00,59.3,82.8,575.9,protein yellow-like
