Hill_ID,Hill_gene_symbol,Transcript_ID,Protein_accession,Family,Nearest_outgroup_genes,Nearest_outgroup_species,n_Hill_in_clade,n_outgroup_in_clade,Bootstrap_support,Orthology_type,Putative_function_from_Dmel,Notes
HillIR17,Ir17,XM_038056939.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR18,Ir18,XM_038055391.1,XP_037911319.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR19,Ir19,XM_038069008.1,XP_037924936.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR2,Ir2,XM_038052393.1,XP_037908321.1,IR,CstyIR76b;DmelIR76b,Calliphora stygia;Drosophila melanogaster,2,2,94,ortholog_group,Co-receptor; salt/amine detection,
HillIR20,Ir20,XM_038069886.1,XP_037925814.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR21,Ir21,XM_038069887.1,XP_037925815.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR22,Ir22,XM_038056940.1,XP_037912868.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR23,Ir23,XM_038065715.1,XP_037921643.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR24,Ir24,XM_038065714.1,XP_037921642.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR25,Ir25,XM_038069889.1,XP_037925817.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR26,Ir26,XM_038059135.1,XP_037915063.1,IR,AaegIR75h,Aedes aegypti,3,1,92,ortholog_group,,
HillIR27,Ir27,XM_038059138.1,XP_037915066.1,IR,AaegIR75h,Aedes aegypti,3,1,92,ortholog_group,,
HillIR28,Ir28,XM_038059137.1,XP_037915065.1,IR,AaegIR75h,Aedes aegypti,3,1,92,ortholog_group,,
HillIR29,Ir29,XM_038054916.1,XP_037910844.1,IR,AaegIR75j;AaegIR75i;AaegIR75g;AaegIR75f;AaegIR75e;AaegIR75h,Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti,5,6,100,ortholog_group,,
HillIR3,Ir3,XM_038058575.1,XP_037914503.1,IR,AaegIR25a,Aedes aegypti,1,1,95,1:1_ortholog,,Co-receptor (Ir25a)
HillIR30,Ir30,XM_038054917.1,XP_037910845.1,IR,AaegIR75j;AaegIR75i;AaegIR75g;AaegIR75f;AaegIR75e;AaegIR75h,Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti,5,6,100,ortholog_group,,
HillIR31,Ir31,XM_038050803.1,XP_037906731.1,IR,CstyIR108-109;CstyIR107;CstyIR75d;DmelIR75d,Calliphora stygia;Calliphora stygia;Calliphora stygia;Drosophila melanogaster,1,4,100,co-ortholog,Acid detection,Antennal IR (tuning receptor clade)
HillIR32,Ir32,XM_038070589.1,XP_037926517.1,IR,CstyIR110;DmelIR84a,Calliphora stygia;Drosophila melanogaster,1,2,100,co-ortholog,Antennal tuning receptor; phenylacetic acid / phenylacetaldehyde,Antennal IR (tuning receptor clade)
HillIR33,Ir33,XM_038051708.1,XP_037906970.1,IR,DmelIR75a;DmelIR75c;DmelIR75b,Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster,2,3,99,ortholog_group,Acid detection,Antennal IR (tuning receptor clade)
HillIR34,Ir34,XM_038051042.1,XP_037906970.1,IR,DmelIR75a;DmelIR75c;DmelIR75b,Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster,2,3,99,ortholog_group,Acid detection,Antennal IR (tuning receptor clade)
HillIR35,Ir35,XM_038054472.1,XP_037910400.1,IR,AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,3,5,69,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR36,Ir36,XM_038054473.1,XP_037910401.1,IR,AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,3,5,69,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR37,Ir37,XM_038067515.1,XP_037923443.1,IR,CstyIR93a;DmelIR93a,Calliphora stygia;Drosophila melanogaster,1,2,100,co-ortholog,Co-receptor; temperature/humidity,
