,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR58,46.957,23.925,29.947,34.677,16.896,0.0,11.75,12.0,17.485,16.503,6.583,15.67,17.092,15.717,6.509,17.092,15.521,10.992,16.896,16.896,17.878,17.289,0.0,17.092,17.092,17.092,17.289,25.926,31.422,30.275,24.675,31.422,33.444,34.862,34.18,31.64,31.409,33.257,28.324,34.862,35.172,32.798,33.103,34.975,31.773,33.563,30.505,32.339,33.945,89.394,99.458,,40.336,48.361,51.093,48.087,44.536,43.089,40.921,46.748,40.068,46.341,42.042,45.283,47.17,29.81,56.977,49.051,49.051,45.257,30.631,42.818,46.341,49.405,46.341,45.799,51.037,47.411,40.379,45.528,49.793,48.81,46.07,51.648,47.72,49.051,35.714,20.942,20.157,24.543,24.611,21.244,21.039,22.078,3.371,22.895,22.775,23.298,24.451,6.019,6.019,15.625,5.963,21.372,22.775,17.881,20.52,23.698,24.556,21.41,28.01,0.0,26.563,27.39,23.279,10.606,14.177,12.069,14.177,14.177,15.013,0.0,14.177,14.0,14.177,14.177,16.625,13.235,13.447,12.869,12.153,12.153,13.735,13.253,12.936,12.936,16.667,17.424,15.776,14.286,13.268,13.075,0.0,16.01,12.563,13.333,6.566,13.514,14.433,16.0,8.421,15.152,0.0,13.152,19.597,15.441,16.667,18.182,13.946,4.52,4.52,16.137,10.272,0.0,19.165,0.0,34.866,27.041,11.702,15.632,17.711,14.943,14.541,11.074,15.172,14.797,20.305,19.816,20.398,20.596,21.013,17.884,20.149,17.188,14.079,0.0,17.766,18.782,20.305,17.766,17.513,12.928
OR87,38.519,25.852,28.164,41.228,19.323,3.54,13.35,11.165,19.522,18.725,8.735,18.511,19.721,17.53,8.016,19.124,17.365,13.212,18.924,19.124,18.725,19.124,4.348,19.124,18.526,18.725,17.331,28.516,30.536,31.002,26.639,32.401,30.794,34.033,32.401,34.033,33.333,32.634,27.654,31.971,32.048,33.566,32.289,35.84,34.336,32.289,31.308,32.168,33.333,38.991,41.351,40.336,,79.891,75.815,76.087,68.207,57.493,56.25,60.526,42.705,50.943,45.652,51.752,53.369,33.696,60.396,55.526,56.065,50.543,31.769,48.913,48.37,44.681,48.098,48.098,47.893,48.641,39.674,45.38,45.594,43.085,48.913,46.04,48.127,52.446,48.413,23.014,22.74,25.683,25.956,20.38,21.467,20.924,5.056,23.967,22.192,22.192,23.343,4.63,4.63,13.672,4.587,20.166,22.527,17.94,19.71,20.879,26.168,25.683,25.479,0.0,25.753,25.745,24.306,11.346,17.46,14.655,17.196,17.196,18.258,0.0,17.725,17.493,16.402,17.196,14.359,13.555,13.265,15.604,10.417,10.417,14.141,13.131,12.821,12.821,13.72,15.303,13.102,13.556,17.268,17.005,0.0,16.537,11.905,17.098,9.091,16.753,10.997,19.423,5.789,15.09,0.0,16.588,20.732,17.995,19.794,19.072,13.265,3.39,3.39,15.641,6.344,0.0,16.495,0.0,38.589,30.114,8.156,14.699,17.003,14.94,14.72,10.067,13.253,15.246,22.17,19.477,20.0,21.762,22.222,20.789,21.204,19.11,15.523,0.0,18.206,18.997,18.206,17.678,17.678,11.407
OR57,45.313,27.446,30.526,40.574,21.042,3.54,13.592,11.408,20.656,19.305,8.735,18.31,20.849,18.726,8.932,19.691,17.988,12.694,20.077,20.27,19.691,19.691,4.348,19.691,19.498,19.691,18.34,28.906,31.236,31.685,27.049,33.933,31.111,35.281,35.056,35.056,34.607,34.157,28.771,33.565,33.643,34.831,33.643,36.386,34.699,33.411,32.432,33.258,34.382,50.237,49.077,48.361,79.891,,88.859,87.003,79.841,65.426,64.191,60.246,51.034,59.737,54.079,57.895,59.737,41.114,69.697,62.368,64.737,58.09,37.478,56.499,54.111,58.564,54.642,54.377,58.268,53.581,47.745,53.05,56.693,58.564,55.438,58.974,56.765,60.743,47.619,24.409,23.36,26.702,27.487,23.438,23.958,23.958,5.618,26.649,24.934,24.672,25.895,4.167,4.167,15.234,4.128,23.016,25.0,18.605,20.87,23.947,28.783,27.487,26.772,0.0,26.772,27.532,26.316,11.139,17.005,14.08,17.513,17.513,18.548,0.0,18.274,18.045,16.751,17.513,15.385,14.251,14.216,15.711,11.458,11.806,15.291,15.049,12.81,12.81,14.684,15.949,13.333,14.807,17.822,17.561,0.0,18.362,13.959,17.413,8.586,17.574,13.746,19.647,6.316,15.657,0.0,16.438,20.349,17.778,19.753,19.802,13.265,3.39,3.39,16.256,7.855,0.0,16.584,0.0,39.3,28.646,9.22,15.545,17.906,15.545,15.315,12.416,13.457,16.186,25.714,21.576,20.698,22.139,22.589,21.465,22.111,18.799,14.44,0.0,19.084,19.084,18.83,18.321,18.83,12.167
OR55,48.062,28.533,31.754,41.803,21.002,3.54,14.32,12.107,20.849,20.077,8.735,19.115,21.622,19.498,9.32,19.884,17.988,13.212,20.463,20.27,20.27,20.849,4.831,20.656,21.042,21.236,19.461,29.688,33.034,32.584,28.689,35.281,31.746,35.955,36.323,36.099,35.874,36.323,30.084,36.111,36.195,37.079,35.963,39.036,36.867,35.963,34.459,34.607,36.854,53.555,51.715,51.093,75.815,88.859,,87.268,79.576,65.691,64.721,63.525,51.724,61.842,55.589,59.737,61.842,41.645,70.707,64.211,65.263,58.621,37.478,56.233,55.172,59.669,55.968,55.703,60.63,55.968,46.95,53.316,57.874,58.564,55.703,60.0,55.0,61.273,49.206,24.147,23.36,28.534,28.534,23.958,23.958,23.958,5.618,25.858,23.622,23.36,24.518,3.704,3.704,14.063,3.67,23.28,25.789,18.272,21.739,23.158,28.19,27.487,28.346,0.0,26.772,28.312,25.329,11.899,17.259,13.506,17.513,17.513,18.548,0.0,18.528,18.296,17.005,17.513,16.129,14.251,14.461,16.348,12.5,12.5,15.291,14.806,13.43,13.43,15.696,17.215,14.103,15.451,17.822,17.561,0.0,18.61,14.213,18.905,9.091,17.822,12.715,20.151,5.789,16.667,0.0,16.438,21.221,18.765,20.0,20.05,13.265,3.39,3.39,14.778,7.553,0.0,16.337,0.0,42.023,28.125,9.22,14.617,16.804,14.849,14.64,9.732,12.761,15.84,26.54,21.935,21.446,23.632,24.112,22.475,21.608,18.016,15.162,0.0,18.321,19.338,19.338,18.066,18.575,12.548
OR56,50.0,26.359,31.404,41.393,19.305,3.54,13.107,10.922,19.691,19.112,8.434,18.31,19.691,17.761,8.35,18.919,17.215,12.435,19.305,20.27,19.305,20.27,4.348,19.112,19.305,19.498,18.147,30.078,31.461,32.36,28.279,33.708,30.159,34.382,34.157,34.831,34.607,34.382,29.05,34.259,34.339,35.955,34.803,37.59,35.181,34.571,33.559,34.607,36.18,51.659,48.813,48.087,76.087,87.003,87.268,,92.042,68.617,66.844,60.656,52.414,60.789,53.776,60.789,62.368,40.584,73.737,64.737,66.579,59.151,37.655,58.09,55.172,60.773,55.172,54.642,61.024,56.233,47.745,53.581,59.449,60.773,54.907,61.026,57.941,61.804,49.206,22.31,22.047,27.225,28.01,23.438,24.219,23.438,5.618,25.594,23.885,23.885,25.069,4.167,4.167,14.844,4.128,21.958,24.211,18.937,20.58,22.368,27.3,27.225,25.197,0.0,26.509,28.312,25.658,11.392,17.259,14.943,16.497,16.497,17.473,0.0,17.766,17.544,16.244,17.259,14.888,15.479,14.706,15.499,12.153,12.153,15.291,14.806,11.364,11.364,13.924,15.696,14.103,14.378,16.089,15.854,0.0,18.61,13.959,17.413,8.586,16.584,11.684,19.647,6.842,15.152,0.0,17.58,20.64,18.272,19.259,18.812,13.265,3.39,3.39,15.271,6.949,0.0,16.337,0.0,37.354,29.688,9.22,13.689,15.978,14.849,14.64,11.074,12.993,15.865,25.714,21.705,19.95,21.891,22.335,22.222,20.603,19.06,15.523,0.0,17.557,17.557,18.066,17.303,16.794,11.787
OR80,35.938,26.359,27.544,41.393,20.492,4.082,14.136,11.78,20.902,20.287,9.272,19.486,20.902,18.852,8.866,20.082,18.275,13.483,20.492,21.516,20.492,21.516,5.085,20.287,20.492,20.697,19.262,21.875,26.966,27.865,19.672,29.438,23.492,29.888,29.213,29.888,29.663,29.663,23.184,28.935,29.234,30.787,29.698,32.048,29.639,29.466,28.378,29.438,31.236,45.024,45.119,44.536,68.207,79.841,79.576,92.042,,61.968,59.947,60.656,52.414,55.789,53.776,54.737,56.579,34.748,51.515,58.947,60.789,53.05,33.748,52.52,49.602,48.066,49.072,48.541,52.362,50.398,41.379,47.215,50.0,47.514,48.806,49.744,51.176,55.968,49.206,22.31,22.047,27.225,28.01,23.438,24.219,23.438,5.618,25.594,23.885,23.885,25.069,4.167,4.167,14.844,4.128,21.958,24.211,18.937,20.58,22.368,27.3,27.225,25.197,0.0,26.509,28.312,25.658,11.392,17.259,14.943,16.497,16.497,17.473,0.0,17.766,17.544,16.244,17.259,14.888,15.479,14.706,15.499,12.153,12.153,15.291,14.806,11.364,11.364,13.924,15.696,14.103,14.378,16.089,15.854,0.0,18.61,13.959,17.413,8.586,16.584,11.684,19.647,6.842,15.152,0.0,17.58,20.64,18.272,19.259,18.812,13.265,3.39,3.39,15.271,6.949,0.0,16.337,0.0,37.354,29.688,9.22,13.689,15.978,14.849,14.64,11.074,12.993,13.162,18.182,19.251,19.95,21.891,22.335,22.222,20.603,19.06,15.523,0.0,17.557,17.557,18.066,17.303,16.794,11.787
OR76,44.094,26.064,28.769,40.476,20.381,3.097,14.599,12.652,21.143,18.857,8.459,18.548,20.952,18.667,8.046,19.81,17.557,12.987,20.571,19.429,19.81,19.619,3.883,19.429,18.857,18.857,17.524,25.882,30.889,30.444,26.337,31.111,27.389,32.889,34.234,34.009,34.009,32.215,25.77,30.805,30.876,32.438,31.336,34.772,33.333,31.797,30.045,32.215,33.11,46.19,43.832,43.089,57.493,65.426,65.691,68.617,61.968,,59.53,62.041,48.454,58.684,51.506,57.881,58.398,36.979,66.327,61.579,60.789,55.091,35.398,53.264,50.131,59.444,51.697,51.175,56.522,52.255,45.431,50.914,55.731,58.333,53.003,58.247,53.392,58.225,48.413,23.097,23.622,26.963,26.992,25.455,26.042,24.479,5.618,26.649,25.984,26.772,28.099,5.093,5.093,14.063,5.046,22.751,24.409,18.272,22.609,21.907,28.487,24.084,23.885,0.0,24.804,26.166,26.557,11.869,16.203,13.793,17.215,17.215,18.231,0.0,17.722,17.5,16.203,17.215,16.129,15.196,14.67,16.075,10.069,10.417,15.99,15.513,12.679,12.679,15.152,15.404,14.573,15.745,15.534,15.311,0.0,16.788,11.692,16.216,9.596,16.381,14.089,19.259,5.263,15.404,0.0,15.022,21.023,17.191,18.16,18.932,13.265,3.39,3.39,15.7,7.855,0.0,16.262,0.0,34.717,27.0,8.865,14.806,16.981,14.579,14.381,10.738,13.895,15.531,22.967,21.475,19.95,19.9,20.305,20.707,21.182,19.843,13.718,0.0,17.303,17.557,18.066,19.338,19.593,13.688
OR86,45.313,24.533,27.21,35.06,18.476,3.097,13.35,11.408,18.476,16.952,7.831,16.097,18.095,16.0,8.429,18.095,16.412,11.658,18.095,17.905,18.095,18.286,3.865,17.714,17.333,17.524,16.381,26.563,27.716,25.499,25.0,29.268,26.032,28.825,31.011,31.011,31.011,30.58,25.698,28.966,29.032,31.027,29.954,33.732,31.818,30.645,28.859,31.696,30.804,43.602,41.361,40.921,56.25,64.191,64.721,66.844,59.947,59.53,,52.653,45.017,55.643,50.301,55.297,56.072,36.719,66.667,56.955,56.43,53.125,36.219,51.302,53.906,60.221,52.865,52.604,59.449,52.381,46.094,51.563,58.268,61.326,52.865,58.462,54.118,56.25,53.968,20.21,22.835,25.654,24.165,20.779,20.052,21.354,6.18,23.483,23.36,23.36,24.518,4.167,4.167,12.109,4.128,21.164,21.785,16.611,19.42,21.964,26.706,25.654,23.36,0.0,23.499,24.093,26.557,9.091,15.19,11.782,13.671,13.671,14.477,0.0,13.924,13.75,13.671,14.43,11.911,14.706,14.914,14.226,10.764,10.764,15.752,16.229,12.474,12.474,11.869,13.131,14.106,15.106,14.842,14.628,0.0,16.341,13.217,14.988,10.101,16.381,13.746,17.822,6.316,15.152,0.0,15.281,20.228,16.019,18.932,20.925,14.966,3.955,3.955,14.286,8.761,0.0,16.788,0.0,34.848,29.648,9.574,13.927,16.216,15.068,14.634,10.067,13.47,16.64,21.429,20.801,21.446,22.637,23.096,21.465,21.235,17.493,15.523,0.0,18.83,20.102,18.066,19.593,19.338,14.449
OR118,0.0,26.486,26.157,42.276,26.302,0.0,18.412,18.412,26.563,22.656,9.694,21.823,25.0,22.135,9.661,25.0,22.454,16.4,24.74,26.563,24.219,25.26,0.0,25.781,26.042,26.042,26.042,15.385,29.87,28.571,13.333,29.545,25.568,30.519,31.922,28.013,28.99,29.545,22.727,30.519,30.519,30.195,30.195,33.096,33.096,30.195,27.362,28.571,31.169,42.667,46.748,46.748,60.526,60.246,63.525,60.656,60.656,62.041,52.653,,72.245,86.531,86.122,82.041,84.082,34.286,0.0,81.633,80.408,51.429,27.842,50.204,48.571,62.222,48.163,46.939,60.169,46.531,39.184,47.755,57.627,64.444,46.939,64.407,54.589,55.51,49.206,22.775,22.513,25.849,25.26,22.539,22.857,23.636,5.618,23.684,23.298,24.084,25.275,6.481,6.481,14.453,6.422,23.219,22.251,17.55,22.254,21.728,24.852,25.849,28.01,0.0,28.46,26.615,23.529,10.101,17.468,14.08,16.456,16.456,17.426,0.0,16.709,16.5,15.443,15.443,20.0,15.854,16.788,11.603,9.375,9.375,16.949,16.223,13.347,13.347,17.588,18.342,15.522,14.072,16.216,15.981,0.0,16.749,13.35,16.543,9.596,18.428,14.334,18.25,6.316,13.065,0.0,16.78,22.767,18.873,18.627,20.147,14.527,4.52,4.52,15.159,8.761,0.0,16.953,0.0,33.591,26.804,9.22,14.12,16.484,15.278,15.056,11.074,14.815,12.27,0.0,15.252,19.403,21.092,21.519,22.67,21.0,18.75,12.635,0.0,18.274,19.543,19.543,19.036,19.543,11.407
OR160,29.412,19.73,22.176,32.114,17.949,0.0,9.627,9.627,17.716,16.084,7.884,14.496,17.483,15.152,8.997,17.249,14.72,8.814,17.249,17.483,17.016,17.716,0.0,17.483,17.249,17.249,17.249,11.111,20.68,18.98,10.0,21.246,13.122,21.813,21.307,19.034,19.602,20.397,15.079,21.246,21.246,20.68,20.68,22.086,22.086,20.397,17.614,20.68,20.963,40.496,40.068,40.068,42.705,51.034,51.724,52.414,52.414,48.454,45.017,72.245,,77.586,76.207,68.966,70.69,47.41,66.667,66.207,64.828,42.268,25.786,42.955,43.643,53.846,41.924,40.893,44.512,40.893,41.304,42.955,44.512,57.143,41.237,56.19,43.478,47.423,30.159,19.474,18.684,18.799,17.969,18.684,20.317,19.525,5.056,19.519,19.681,18.883,19.832,5.687,5.687,10.359,5.634,19.251,18.568,13.805,17.889,17.772,21.021,20.104,22.368,0.0,21.671,19.38,20.134,10.924,13.706,10.375,12.69,12.69,13.441,0.0,13.452,13.283,12.437,12.437,14.144,12.5,13.447,9.916,6.272,6.272,12.621,11.893,10.95,10.95,13.131,13.384,12.532,11.803,14.758,14.536,0.0,15.051,12.272,14.578,9.596,16.794,9.966,15.327,6.842,10.886,0.0,14.45,19.186,15.802,15.309,16.089,9.898,4.52,4.52,12.808,8.589,0.0,13.366,0.0,28.175,21.39,4.965,11.111,12.912,11.574,11.461,7.095,12.558,9.774,8.621,14.583,15.776,17.513,17.876,18.974,18.066,16.267,11.481,0.0,17.313,17.571,17.054,17.313,17.054,9.375
OR73,44.094,24.865,30.123,41.057,20.231,3.556,15.049,13.592,20.424,17.919,7.855,16.7,20.617,18.882,8.88,20.039,17.954,13.766,20.039,20.231,19.075,19.653,4.369,20.424,20.231,20.231,19.075,25.882,29.148,29.821,25.103,29.372,29.618,30.942,33.034,30.562,31.236,30.493,25.978,30.485,30.324,31.166,29.398,33.173,31.49,29.398,28.764,30.045,30.942,46.919,46.859,46.341,50.943,59.737,61.842,60.789,55.789,58.684,55.643,86.531,77.586,,86.707,81.053,83.684,50.789,84.848,77.895,79.211,53.543,34.392,52.756,53.281,59.116,51.181,50.394,59.449,51.969,47.244,53.018,60.236,62.983,52.493,61.538,55.685,57.218,48.413,23.56,22.513,24.543,23.438,21.762,21.299,21.558,4.494,22.105,23.298,23.037,24.176,6.481,6.481,14.063,6.422,21.9,20.942,16.225,20.52,20.419,23.669,24.282,28.01,0.0,27.937,25.581,22.222,9.596,15.696,12.644,15.19,15.19,16.086,0.0,15.696,15.5,14.684,14.684,18.025,15.366,16.545,13.291,9.375,9.375,15.496,15.012,12.526,12.526,16.583,16.583,14.249,14.499,15.725,15.496,0.0,15.764,12.594,16.543,9.091,17.69,13.993,17.0,6.316,13.317,0.0,15.646,22.767,18.137,17.892,19.41,13.176,4.52,4.52,14.67,9.668,0.0,16.216,0.0,32.046,28.351,8.865,14.352,16.758,14.12,14.157,11.074,14.352,16.026,26.794,21.189,18.657,21.092,21.519,22.67,20.75,17.708,12.635,0.0,18.782,19.289,19.289,19.797,20.051,12.548
OR114,20.513,25.135,24.33,41.057,20.915,0.0,14.773,14.773,21.133,18.301,6.642,16.934,21.133,19.172,8.297,20.915,18.559,13.846,20.915,20.915,20.044,20.261,0.0,20.915,20.915,20.915,20.915,10.294,23.038,23.291,10.938,23.038,17.871,23.797,25.888,22.589,22.843,23.291,16.287,23.797,23.797,23.544,23.544,24.931,24.86,22.785,20.051,21.772,23.038,36.42,42.042,42.042,45.652,54.079,55.589,53.776,53.776,51.506,50.301,86.122,76.207,86.707,,70.997,73.414,36.254,22.0,69.184,68.882,43.976,27.799,44.88,46.386,40.152,42.169,41.265,48.78,44.88,38.253,44.88,49.268,46.212,43.675,45.205,46.939,49.096,49.206,23.822,21.99,24.804,23.698,21.762,21.818,22.078,5.056,22.632,23.298,23.298,24.451,6.481,6.481,14.453,6.422,22.427,21.466,16.887,20.52,20.942,24.26,24.021,27.487,0.0,27.937,25.581,22.876,9.343,15.696,12.644,15.696,15.696,16.622,0.0,15.696,15.5,14.684,14.684,18.025,15.366,16.545,13.291,9.722,9.722,15.738,15.254,12.526,12.526,16.583,16.583,14.249,14.499,15.233,15.012,0.0,15.764,12.594,16.543,9.091,17.69,14.334,17.25,6.316,13.568,0.0,15.873,23.055,18.382,18.137,19.656,13.514,4.52,4.52,14.914,9.668,0.0,16.462,0.0,32.046,28.351,9.22,14.583,17.033,14.352,14.382,11.409,14.583,12.014,6.875,16.276,18.905,21.588,22.025,22.418,21.0,17.708,12.635,0.0,18.782,19.289,19.289,19.797,20.051,12.548
OR83,41.732,23.316,28.475,37.023,18.692,3.556,14.078,12.379,19.188,17.159,8.157,16.901,19.224,17.375,7.394,17.528,15.896,13.506,17.897,17.343,17.712,18.819,4.369,18.45,18.081,18.081,17.159,27.059,29.047,28.381,25.514,29.49,31.529,31.042,32.584,30.337,30.787,29.464,26.816,30.345,30.184,30.804,29.263,33.732,32.057,30.184,29.53,31.92,33.036,46.919,45.833,45.283,51.752,57.895,59.737,60.789,54.737,57.881,55.297,82.041,68.966,81.053,70.997,,86.275,49.109,89.899,75.0,72.368,52.972,35.852,52.196,52.713,59.116,49.871,49.096,59.055,51.444,45.995,51.68,58.661,59.669,51.421,59.487,56.851,55.814,46.825,22.513,22.775,24.543,22.821,21.244,21.558,20.779,4.494,21.053,21.99,22.251,23.352,6.481,6.481,14.063,6.422,21.636,20.419,17.219,21.387,19.182,23.964,24.804,26.702,0.0,26.823,25.323,22.549,10.354,16.456,14.943,16.456,16.456,17.426,0.0,16.203,16.0,14.937,15.443,17.284,15.122,15.085,12.698,9.722,9.722,15.513,15.274,12.831,12.831,16.583,17.085,13.317,14.407,14.186,13.991,0.0,14.554,11.99,16.626,9.091,16.302,14.676,17.421,6.842,13.065,0.0,15.87,21.858,18.284,17.33,18.31,13.851,4.52,4.52,13.318,8.761,0.0,15.493,0.0,29.749,20.091,9.22,12.826,14.796,13.261,13.108,10.403,13.203,15.639,25.359,20.801,18.905,18.61,18.987,22.67,21.513,18.229,12.996,0.0,18.782,20.051,19.036,18.528,18.782,12.928
OR78,45.669,24.093,28.983,35.496,19.065,3.556,14.32,12.621,18.635,16.605,8.157,16.7,18.669,16.821,7.209,17.528,15.712,13.506,18.081,17.343,17.897,17.897,3.883,17.712,18.081,18.266,17.343,26.667,29.047,28.825,25.103,29.933,31.21,31.264,33.034,31.011,31.461,30.357,27.654,31.264,31.106,31.473,30.184,34.211,32.536,30.876,29.978,31.027,32.589,48.341,47.656,47.17,53.369,59.737,61.842,62.368,56.579,58.398,56.072,84.082,70.69,83.684,73.414,86.275,,51.646,93.939,77.632,75.526,52.713,35.325,53.23,54.005,61.326,51.163,50.388,61.417,51.969,47.028,52.713,59.843,61.326,51.938,60.513,58.309,56.331,46.825,23.298,22.775,24.543,23.846,22.021,21.818,21.818,4.494,22.632,23.822,23.298,24.451,6.944,6.944,14.063,6.881,21.636,20.681,17.55,21.965,20.205,23.964,25.326,26.702,0.0,26.302,24.806,21.895,9.596,15.443,14.08,16.203,16.203,17.158,0.0,15.949,15.75,14.937,15.443,17.778,14.39,15.328,12.948,10.069,10.069,15.99,15.99,13.646,13.646,16.08,17.337,13.801,14.619,14.884,14.679,0.0,15.493,12.95,15.159,9.091,16.302,13.652,18.664,6.842,13.065,0.0,15.517,21.892,18.1,18.097,18.837,15.203,4.52,4.52,13.889,9.366,0.0,15.116,0.0,30.108,21.918,9.929,13.043,15.051,13.696,13.531,11.409,13.42,16.134,26.316,20.93,18.905,19.603,20.0,21.662,20.991,18.49,12.996,0.0,19.797,20.558,20.305,19.289,19.543,13.308
OR147,47.244,11.257,19.726,17.829,9.56,2.765,1.746,0.249,9.56,8.987,2.167,8.642,9.943,10.317,3.07,8.795,6.705,2.122,8.222,8.987,9.56,8.413,3.535,9.369,9.369,9.56,8.987,21.053,18.182,17.955,20.426,20.227,16.993,19.773,21.198,20.276,20.737,20.137,19.255,19.811,19.622,20.366,18.44,21.376,19.41,18.203,18.119,20.137,20.366,35.545,31.152,29.81,33.696,41.114,41.645,40.584,34.748,36.979,36.719,34.286,47.41,50.789,36.254,49.109,51.646,,97.98,48.158,47.105,33.854,22.261,33.333,35.417,48.066,33.854,33.854,34.646,32.54,36.286,33.073,35.433,49.724,33.333,45.128,36.471,37.5,0.0,8.488,9.549,8.421,9.561,10.4,10.695,10.428,0.0,10.541,9.677,10.484,11.017,0.0,0.0,0.0,0.0,9.563,9.946,3.767,8.929,10.499,11.89,11.842,11.671,0.0,10.526,10.156,9.556,5.831,6.633,4.928,6.888,6.888,7.297,0.0,6.633,6.549,6.888,6.888,8.229,6.188,6.914,5.544,0.0,0.0,6.747,7.229,5.372,5.372,7.653,6.888,7.921,7.082,8.955,8.824,0.0,8.685,5.33,7.417,0.0,8.906,0.352,8.108,0.0,6.959,0.0,6.502,9.091,7.748,7.506,8.252,0.347,0.0,0.0,6.28,0.0,0.0,5.825,0.0,13.41,13.706,0.0,5.856,7.046,5.631,5.689,0.0,5.656,9.585,25.871,15.02,8.226,9.231,9.424,9.399,9.701,7.629,0.0,0.0,8.707,8.707,9.235,8.971,8.707,0.0
OR157,49.02,0.0,54.902,0.0,8.081,7.143,8.081,1.01,8.081,8.081,8.081,8.081,9.091,9.091,9.091,9.091,9.091,9.091,7.071,8.081,8.081,8.081,8.081,8.081,7.071,8.081,3.03,51.961,47.059,48.039,47.059,49.02,50.98,50.0,50.0,50.98,50.98,48.039,48.039,50.562,50.0,51.961,47.727,53.535,45.455,48.864,52.941,51.961,50.98,58.586,58.586,56.977,60.396,69.697,70.707,73.737,51.515,66.327,66.667,0.0,66.667,84.848,22.0,89.899,93.939,97.98,,88.889,88.889,64.646,63.636,67.677,69.697,69.697,69.697,69.697,67.677,68.687,70.707,70.707,70.707,70.707,70.707,69.697,68.687,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.364,44.118,60.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR69,47.244,27.027,31.874,41.463,20.617,3.111,15.534,13.835,21.002,19.075,8.459,19.316,20.809,18.69,8.494,20.039,18.34,13.766,20.231,20.424,20.039,19.653,3.883,21.387,20.809,21.002,20.039,28.627,30.942,29.372,26.749,31.39,31.847,32.735,33.708,31.236,32.36,30.717,27.095,32.333,32.176,32.96,31.481,35.817,33.894,32.407,31.461,30.942,33.184,50.711,49.738,49.051,55.526,62.368,64.211,64.737,58.947,61.579,56.955,81.633,66.207,77.895,69.184,75.0,77.632,48.158,88.889,,90.263,57.48,37.037,57.743,55.906,63.536,56.955,56.168,63.386,56.168,50.394,56.168,61.811,64.088,56.43,62.564,60.933,61.155,52.381,23.298,22.251,26.371,25.26,22.28,22.338,22.597,5.618,23.947,24.084,24.346,25.549,5.556,5.556,15.234,5.505,23.483,23.822,19.536,23.41,22.513,26.923,24.804,27.225,0.0,29.243,25.84,26.144,9.848,16.203,14.08,15.949,15.949,16.89,0.0,15.696,15.5,15.443,15.19,18.765,16.829,17.032,15.823,10.764,10.764,15.981,15.738,13.142,13.142,17.839,17.839,15.013,13.859,16.953,16.707,0.0,15.517,12.091,15.556,9.091,17.199,14.676,17.75,6.842,14.322,0.0,15.873,23.055,19.118,19.608,20.885,14.865,5.65,5.65,16.137,9.366,0.0,16.953,0.0,33.977,27.835,9.22,15.972,18.956,16.435,16.18,11.074,15.972,16.667,24.88,23.514,21.144,22.084,22.532,22.922,21.25,18.49,13.718,0.0,19.797,20.812,19.543,20.305,19.289,12.167
