Hill_ID,Hill_gene_symbol,Transcript_ID,Protein_accession,Family,Nearest_outgroup_genes,Nearest_outgroup_species,n_Hill_in_clade,n_outgroup_in_clade,Bootstrap_support,Orthology_type,Putative_function_from_Dmel,Notes
HillGR12,GR12,XM_038047601.1,XP_037903526.1,GR,AaegGR19c; AaegGR19b; AaegGR19a; DmelGR28a; DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA; DmelGR33a; AaegGR30; AaegGR78; AaegGR27; AaegGR32; AaegGR81; AaegGR29; AaegGR50; AaegGR49; AaegGR53; AaegGR54; AaegGR56; AaegGR55; AaegGR57; AaegGR59; AaegGR22; AaegGR58; AaegGR21; AaegGR25; AaegGR26; AaegGR23; AaegGR31; AaegGR77; AaegGR20j; AaegGR20g; AaegGR20d; AaegGR20c; AaegGR20b; AaegGR20a; AaegGR20i; AaegGR20k; AaegGR20h; AaegGR20f; AaegGR20e; AaegGR20l; AaegGR20m; AaegGR62; AaegGR60c; AaegGR60a; AaegGR60b; AaegGR60d; AaegGR61c__Gr60_; AaegGR61b; AaegGR61a; AaegGR34; DmelGR43a; AaegGR72; AaegGR14; DmelGR66a; AaegGR36; AaegGR35; AaegGR73; AaegGR63; AaegGR64; AaegGR75; AaegGR48; DmelGR47b; DmelGR57a; AaegGR37; AaegGR39a; AaegGR39b; AaegGR39e; AaegGR39c; AaegGR39h; AaegGR39g; AaegGR39f; AaegGR39d; DmelGR39aB; DmelGR39aA; DmelGR39aD; DmelGR39aC; DmelGR68a; DmelGR32a; DmelGR2a; DmelGR39b; AaegGR80; DmelGR23aB; DmelGR23aA; DmelGR98a; DmelGR98b; DmelGR98d; DmelGR98c; DmelGR9a; DmelGR8a; AaegGR18; AaegGR17; AaegGR16; AaegGR66; AaegGR65; AaegGR79; AaegGR15; AaegGR74c; AaegGR74e; AaegGR74d; AaegGR74b; AaegGR74a; AaegGR69; AaegGR68; AaegGR67e; AaegGR67d; AaegGR67c; AaegGR67b; AaegGR67a; AaegGR33b; AaegGR33a; DmelGR59f; DmelGR59e; AaegGR3; DmelGR63a; AaegGR2; DmelGR21a; AaegGR1; AaegGR5; DmelGR64f; DmelGR64e; AaegGR4; DmelGR5a; DmelGR64b; DmelGR64d; DmelGR64c; AaegGR11; AaegGR10; AaegGR9; AaegGR6; AaegGR7; AaegGR8; AaegGR13; DmelGR61a; DmelGR64a; AaegGR42; AaegGR41; AaegGR47; AaegGR46; AaegGR43; AaegGR45; AaegGR44; DmelGR59b; DmelGR59a; DmelGR77a; DmelGR58b; DmelGR58a; DmelGR58c; DmelGR89a; DmelGR10b; DmelGR22f; DmelGR22c; DmelGR22b; DmelGR22a; DmelGR22e; DmelGR22d; DmelGR10a; AaegGR76; DmelGR97a; DmelGR94a; DmelGR59c; DmelGR59d; DmelGR36c; DmelGR36b; DmelGR36a; DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b; DmelGR85a; DmelGR47a,Aedes aegypti; Drosophila melanogaster,36,175,71,ortholog_group,Light/temperature receptor; Bitter taste receptor (pheromone); Fructose/sugar taste receptor; Bitter taste receptor; Putative gustatory receptor; Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA); CO2 detection (along with GR21a); CO2 detection (along with GR63a); Sugar taste receptor; Trehalose taste receptor; Sugar taste receptor (sucrose/maltose); Putative gustatory receptor (bitter),
HillGR13,GR13,XM_038047599.1,XP_037903526.1,GR,AaegGR19c; AaegGR19b; AaegGR19a; DmelGR28a; DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA; DmelGR33a; AaegGR30; AaegGR78; AaegGR27; AaegGR32; AaegGR81; AaegGR29; AaegGR50; AaegGR49; AaegGR53; AaegGR54; AaegGR56; AaegGR55; AaegGR57; AaegGR59; AaegGR22; AaegGR58; AaegGR21; AaegGR25; AaegGR26; AaegGR23; AaegGR31; AaegGR77; AaegGR20j; AaegGR20g; AaegGR20d; AaegGR20c; AaegGR20b; AaegGR20a; AaegGR20i; AaegGR20k; AaegGR20h; AaegGR20f; AaegGR20e; AaegGR20l; AaegGR20m; AaegGR62; AaegGR60c; AaegGR60a; AaegGR60b; AaegGR60d; AaegGR61c__Gr60_; AaegGR61b; AaegGR61a; AaegGR34; DmelGR43a; AaegGR72; AaegGR14; DmelGR66a; AaegGR36; AaegGR35; AaegGR73; AaegGR63; AaegGR64; AaegGR75; AaegGR48; DmelGR47b; DmelGR57a; AaegGR37; AaegGR39a; AaegGR39b; AaegGR39e; AaegGR39c; AaegGR39h; AaegGR39g; AaegGR39f; AaegGR39d; DmelGR39aB; DmelGR39aA; DmelGR39aD; DmelGR39aC; DmelGR68a; DmelGR32a; DmelGR2a; DmelGR39b; AaegGR80; DmelGR23aB; DmelGR23aA; DmelGR98a; DmelGR98b; DmelGR98d; DmelGR98c; DmelGR9a; DmelGR8a; AaegGR18; AaegGR17; AaegGR16; AaegGR66; AaegGR65; AaegGR79; AaegGR15; AaegGR74c; AaegGR74e; AaegGR74d; AaegGR74b; AaegGR74a; AaegGR69; AaegGR68; AaegGR67e; AaegGR67d; AaegGR67c; AaegGR67b; AaegGR67a; AaegGR33b; AaegGR33a; DmelGR59f; DmelGR59e; AaegGR3; DmelGR63a; AaegGR2; DmelGR21a; AaegGR1; AaegGR5; DmelGR64f; DmelGR64e; AaegGR4; DmelGR5a; DmelGR64b; DmelGR64d; DmelGR64c; AaegGR11; AaegGR10; AaegGR9; AaegGR6; AaegGR7; AaegGR8; AaegGR13; DmelGR61a; DmelGR64a; AaegGR42; AaegGR41; AaegGR47; AaegGR46; AaegGR43; AaegGR45; AaegGR44; DmelGR59b; DmelGR59a; DmelGR77a; DmelGR58b; DmelGR58a; DmelGR58c; DmelGR89a; DmelGR10b; DmelGR22f; DmelGR22c; DmelGR22b; DmelGR22a; DmelGR22e; DmelGR22d; DmelGR10a; AaegGR76; DmelGR97a; DmelGR94a; DmelGR59c; DmelGR59d; DmelGR36c; DmelGR36b; DmelGR36a; DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b; DmelGR85a; DmelGR47a,Aedes aegypti; Drosophila melanogaster,37,175,NA,ortholog_group,Light/temperature receptor; Bitter taste receptor (pheromone); Fructose/sugar taste receptor; Bitter taste receptor; Putative gustatory receptor; Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA); CO2 detection (along with GR21a); CO2 detection (along with GR63a); Sugar taste receptor; Trehalose taste receptor; Sugar taste receptor (sucrose/maltose); Putative gustatory receptor (bitter),
HillGR14,GR14,XM_038047598.1,XP_037903526.1,GR,AaegGR19c; AaegGR19b; AaegGR19a; DmelGR28a; DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA; DmelGR33a; AaegGR30; AaegGR78; AaegGR27; AaegGR32; AaegGR81; AaegGR29; AaegGR50; AaegGR49; AaegGR53; AaegGR54; AaegGR56; AaegGR55; AaegGR57; AaegGR59; AaegGR22; AaegGR58; AaegGR21; AaegGR25; AaegGR26; AaegGR23; AaegGR31; AaegGR77; AaegGR20j; AaegGR20g; AaegGR20d; AaegGR20c; AaegGR20b; AaegGR20a; AaegGR20i; AaegGR20k; AaegGR20h; AaegGR20f; AaegGR20e; AaegGR20l; AaegGR20m; AaegGR62; AaegGR60c; AaegGR60a; AaegGR60b; AaegGR60d; AaegGR61c__Gr60_; AaegGR61b; AaegGR61a; AaegGR34; DmelGR43a; AaegGR72; AaegGR14; DmelGR66a; AaegGR36; AaegGR35; AaegGR73; AaegGR63; AaegGR64; AaegGR75; AaegGR48; DmelGR47b; DmelGR57a; AaegGR37; AaegGR39a; AaegGR39b; AaegGR39e; AaegGR39c; AaegGR39h; AaegGR39g; AaegGR39f; AaegGR39d; DmelGR39aB; DmelGR39aA; DmelGR39aD; DmelGR39aC; DmelGR68a; DmelGR32a; DmelGR2a; DmelGR39b; AaegGR80; DmelGR23aB; DmelGR23aA; DmelGR98a; DmelGR98b; DmelGR98d; DmelGR98c; DmelGR9a; DmelGR8a; AaegGR18; AaegGR17; AaegGR16; AaegGR66; AaegGR65; AaegGR79; AaegGR15; AaegGR74c; AaegGR74e; AaegGR74d; AaegGR74b; AaegGR74a; AaegGR69; AaegGR68; AaegGR67e; AaegGR67d; AaegGR67c; AaegGR67b; AaegGR67a; AaegGR33b; AaegGR33a; DmelGR59f; DmelGR59e; AaegGR3; DmelGR63a; AaegGR2; DmelGR21a; AaegGR1; AaegGR5; DmelGR64f; DmelGR64e; AaegGR4; DmelGR5a; DmelGR64b; DmelGR64d; DmelGR64c; AaegGR11; AaegGR10; AaegGR9; AaegGR6; AaegGR7; AaegGR8; AaegGR13; DmelGR61a; DmelGR64a; AaegGR42; AaegGR41; AaegGR47; AaegGR46; AaegGR43; AaegGR45; AaegGR44; DmelGR59b; DmelGR59a; DmelGR77a; DmelGR58b; DmelGR58a; DmelGR58c; DmelGR89a; DmelGR10b; DmelGR22f; DmelGR22c; DmelGR22b; DmelGR22a; DmelGR22e; DmelGR22d; DmelGR10a; AaegGR76; DmelGR97a; DmelGR94a; DmelGR59c; DmelGR59d; DmelGR36c; DmelGR36b; DmelGR36a; DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b; DmelGR85a; DmelGR47a,Aedes aegypti; Drosophila melanogaster,39,175,NA,ortholog_group,Light/temperature receptor; Bitter taste receptor (pheromone); Fructose/sugar taste receptor; Bitter taste receptor; Putative gustatory receptor; Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA); CO2 detection (along with GR21a); CO2 detection (along with GR63a); Sugar taste receptor; Trehalose taste receptor; Sugar taste receptor (sucrose/maltose); Putative gustatory receptor (bitter),
HillGR15,GR15,XM_038047600.1,XP_037903526.1,GR,AaegGR19c; AaegGR19b; AaegGR19a; DmelGR28a; DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA; DmelGR33a; AaegGR30; AaegGR78; AaegGR27; AaegGR32; AaegGR81; AaegGR29; AaegGR50; AaegGR49; AaegGR53; AaegGR54; AaegGR56; AaegGR55; AaegGR57; AaegGR59; AaegGR22; AaegGR58; AaegGR21; AaegGR25; AaegGR26; AaegGR23; AaegGR31; AaegGR77; AaegGR20j; AaegGR20g; AaegGR20d; AaegGR20c; AaegGR20b; AaegGR20a; AaegGR20i; AaegGR20k; AaegGR20h; AaegGR20f; AaegGR20e; AaegGR20l; AaegGR20m; AaegGR62; AaegGR60c; AaegGR60a; AaegGR60b; AaegGR60d; AaegGR61c__Gr60_; AaegGR61b; AaegGR61a; AaegGR34; DmelGR43a; AaegGR72; AaegGR14; DmelGR66a; AaegGR36; AaegGR35; AaegGR73; AaegGR63; AaegGR64; AaegGR75; AaegGR48; DmelGR47b; DmelGR57a; AaegGR37; AaegGR39a; AaegGR39b; AaegGR39e; AaegGR39c; AaegGR39h; AaegGR39g; AaegGR39f; AaegGR39d; DmelGR39aB; DmelGR39aA; DmelGR39aD; DmelGR39aC; DmelGR68a; DmelGR32a; DmelGR2a; DmelGR39b; AaegGR80; DmelGR23aB; DmelGR23aA; DmelGR98a; DmelGR98b; DmelGR98d; DmelGR98c; DmelGR9a; DmelGR8a; AaegGR18; AaegGR17; AaegGR16; AaegGR66; AaegGR65; AaegGR79; AaegGR15; AaegGR74c; AaegGR74e; AaegGR74d; AaegGR74b; AaegGR74a; AaegGR69; AaegGR68; AaegGR67e; AaegGR67d; AaegGR67c; AaegGR67b; AaegGR67a; AaegGR33b; AaegGR33a; DmelGR59f; DmelGR59e; AaegGR3; DmelGR63a; AaegGR2; DmelGR21a; AaegGR1; AaegGR5; DmelGR64f; DmelGR64e; AaegGR4; DmelGR5a; DmelGR64b; DmelGR64d; DmelGR64c; AaegGR11; AaegGR10; AaegGR9; AaegGR6; AaegGR7; AaegGR8; AaegGR13; DmelGR61a; DmelGR64a; AaegGR42; AaegGR41; AaegGR47; AaegGR46; AaegGR43; AaegGR45; AaegGR44; DmelGR59b; DmelGR59a; DmelGR77a; DmelGR58b; DmelGR58a; DmelGR58c; DmelGR89a; DmelGR10b; DmelGR22f; DmelGR22c; DmelGR22b; DmelGR22a; DmelGR22e; DmelGR22d; DmelGR10a; AaegGR76; DmelGR97a; DmelGR94a; DmelGR59c; DmelGR59d; DmelGR36c; DmelGR36b; DmelGR36a; DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b; DmelGR85a; DmelGR47a,Aedes aegypti; Drosophila melanogaster,39,175,NA,ortholog_group,Light/temperature receptor; Bitter taste receptor (pheromone); Fructose/sugar taste receptor; Bitter taste receptor; Putative gustatory receptor; Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA); CO2 detection (along with GR21a); CO2 detection (along with GR63a); Sugar taste receptor; Trehalose taste receptor; Sugar taste receptor (sucrose/maltose); Putative gustatory receptor (bitter),
HillGR16,GR16,XM_038059054.1,XP_037914982.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR17,GR17,XM_038059053.1,XP_037914981.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR18,GR18,XM_038059055.1,XP_037914983.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR19,GR19,XM_038059059.1,XP_037914987.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR20,GR20,XM_038059058.1,XP_037914986.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR21,GR21,XM_038059056.1,XP_037914984.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR22,GR22,XM_038059060.1,XP_037914988.1,GR,DmelGR85a; DmelGR47a,Drosophila melanogaster,7,2,86,ortholog_group,Putative gustatory receptor,
HillGR24,GR24,XM_038049572.1,XP_037905500.1,GR,DmelGR66a,Drosophila melanogaster,1,1,100,1:1_ortholog,Bitter taste receptor,
HillGR25,GR25,XM_038060764.1,XP_037916692.1,GR,DmelGR68a; DmelGR32a,Drosophila melanogaster,4,2,100,ortholog_group,Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA),
HillGR26,GR26,XM_038060761.1,XP_037916689.1,GR,DmelGR68a; DmelGR32a,Drosophila melanogaster,4,2,100,ortholog_group,Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA),
HillGR27,GR27,XM_038060762.1,XP_037916690.1,GR,DmelGR68a; DmelGR32a,Drosophila melanogaster,4,2,100,ortholog_group,Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA),
HillGR28,GR28,XM_038060763.1,XP_037916691.1,GR,DmelGR68a; DmelGR32a,Drosophila melanogaster,4,2,100,ortholog_group,Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA),
HillGR30,GR30,XM_038058890.1,XP_037914818.1,GR,DmelGR68a; DmelGR32a,Drosophila melanogaster,5,2,100,ortholog_group,Pheromone/sex peptide receptor; Bitter/pheromone receptor (cVA),
HillGR31,GR31,XM_038050314.1,XP_037906242.1,GR,DmelGR64a,Drosophila melanogaster,2,1,68,ortholog_group,Sugar taste receptor (sucrose/maltose),
HillGR32,GR32,XM_038062662.1,XP_037918590.1,GR,DmelGR2a,Drosophila melanogaster,2,1,100,ortholog_group,Putative gustatory receptor,
HillGR33,GR33,XM_038062660.1,XP_037918588.1,GR,DmelGR2a,Drosophila melanogaster,2,1,100,ortholog_group,Putative gustatory receptor,
HillGR34,GR34,XM_038062666.1,XP_037918594.1,GR,AaegGR80; DmelGR23aB; DmelGR23aA,Aedes aegypti; Drosophila melanogaster,2,3,84,ortholog_group,Putative gustatory receptor,
HillGR35,GR35,XM_038062667.1,XP_037918595.1,GR,AaegGR80; DmelGR23aB; DmelGR23aA,Aedes aegypti; Drosophila melanogaster,2,3,84,ortholog_group,Putative gustatory receptor,
HillGR36,GR36,XM_038050310.1,XP_037906238.1,GR,DmelGR64f; DmelGR64e; AaegGR4; DmelGR5a,Drosophila melanogaster; Aedes aegypti,1,4,100,co-ortholog,Sugar taste receptor; Trehalose taste receptor,
HillGR37,GR37,XM_038052209.1,XP_037908137.1,GR,DmelGR64a,Drosophila melanogaster,1,1,100,1:1_ortholog,Sugar taste receptor (sucrose/maltose),
HillGR38,GR38,XM_038050309.1,XP_037906237.1,GR,AaegGR11; AaegGR10; AaegGR9,Aedes aegypti,1,3,97,co-ortholog,Unknown,
HillGR39,GR39,XM_038048382.1,XP_037904310.1,GR,DmelGR33a,Drosophila melanogaster,1,1,100,1:1_ortholog,Bitter taste receptor (pheromone),
HillGR40,GR40,XM_038061394.1,XP_037917322.1,GR,DmelGR43a,Drosophila melanogaster,1,1,99,1:1_ortholog,Fructose/sugar taste receptor,
HillGR41,GR41,XM_038057268.1,XP_037913196.1,GR,DmelGR47b; DmelGR57a,Drosophila melanogaster,1,2,100,co-ortholog,Putative gustatory receptor,
