Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillPPK29,PPK29,HillPPK29,XM_038058107.1,Hermetia illucens,Hill,PPK29,PPK,XP_037914035.1,XM_038058107.1,Pickpocket / degenerin / epithelial sodium channel PPK29 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK33,PPK33,HillPPK33,XM_038058113.1,Hermetia illucens,Hill,PPK33,PPK,XP_037914041.1,XM_038058113.1,Pickpocket / degenerin / epithelial sodium channel PPK33 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK35,PPK35,HillPPK35,XM_038058114.1,Hermetia illucens,Hill,PPK35,PPK,XP_037914042.1,XM_038058114.1,Pickpocket / degenerin / epithelial sodium channel PPK35 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK32,PPK32,HillPPK32,XM_038058115.1,Hermetia illucens,Hill,PPK32,PPK,XP_037914043.1,XM_038058115.1,Pickpocket / degenerin / epithelial sodium channel PPK32 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK26,PPK26,HillPPK26,XM_038058116.1,Hermetia illucens,Hill,PPK26,PPK,XP_037914044.1,XM_038058116.1,Pickpocket / degenerin / epithelial sodium channel PPK26 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK19,PPK19,HillPPK19,XM_038059104.1,Hermetia illucens,Hill,PPK19,PPK,XP_037915032.1,XM_038059104.1,Pickpocket / degenerin / epithelial sodium channel PPK19 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK20,PPK20,HillPPK20,XM_038059105.1,Hermetia illucens,Hill,PPK20,PPK,XP_037915033.1,XM_038059105.1,Pickpocket / degenerin / epithelial sodium channel PPK20 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK25,PPK25,HillPPK25,XM_038059106.1,Hermetia illucens,Hill,PPK25,PPK,XP_037915034.1,XM_038059106.1,Pickpocket / degenerin / epithelial sodium channel PPK25 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK24,PPK24,HillPPK24,XM_038059272.1,Hermetia illucens,Hill,PPK24,PPK,XP_037915200.1,XM_038059272.1,Pickpocket / degenerin / epithelial sodium channel PPK24 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK30,PPK30,HillPPK30,XM_038059273.1,Hermetia illucens,Hill,PPK30,PPK,XP_037915201.1,XM_038059273.1,Pickpocket / degenerin / epithelial sodium channel PPK30 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK1,PPK1,HillPPK1,XM_038059310.1,Hermetia illucens,Hill,PPK1,PPK,XP_037915238.1,XM_038059310.1,Pickpocket / degenerin / epithelial sodium channel PPK1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK5,PPK5,HillPPK5,XM_038060760.1,Hermetia illucens,Hill,PPK5,PPK,XP_037916688.1,XM_038060760.1,Pickpocket / degenerin / epithelial sodium channel PPK5 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK15,PPK15,HillPPK15,XM_038060825.1,Hermetia illucens,Hill,PPK15,PPK,XP_037916753.1,XM_038060825.1,Pickpocket / degenerin / epithelial sodium channel PPK15 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK13,PPK13,HillPPK13,XM_038061346.1,Hermetia illucens,Hill,PPK13,PPK,XP_037917274.1,XM_038061346.1,Pickpocket / degenerin / epithelial sodium channel PPK13 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK14,PPK14,HillPPK14,XM_038061347.1,Hermetia illucens,Hill,PPK14,PPK,XP_037917275.1,XM_038061347.1,Pickpocket / degenerin / epithelial sodium channel PPK14 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK17,PPK17,HillPPK17,XM_038061621.1,Hermetia illucens,Hill,PPK17,PPK,XP_037917549.1,XM_038061621.1,Pickpocket / degenerin / epithelial sodium channel PPK17 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK16,PPK16,HillPPK16,XM_038061622.1,Hermetia illucens,Hill,PPK16,PPK,XP_037917550.1,XM_038061622.1,Pickpocket / degenerin / epithelial sodium channel PPK16 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK18,PPK18,HillPPK18,XM_038063713.1,Hermetia illucens,Hill,PPK18,PPK,XP_037919641.1,XM_038063713.1,Pickpocket / degenerin / epithelial sodium channel PPK18 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK4,PPK4,HillPPK4,XM_038064080.1,Hermetia illucens,Hill,PPK4,PPK,XP_037920008.1,XM_038064080.1,Pickpocket / degenerin / epithelial sodium channel PPK4 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK6,PPK6,HillPPK6,XM_038064204.1,Hermetia illucens,Hill,PPK6,PPK,XP_037920132.1,XM_038064204.1,Pickpocket / degenerin / epithelial sodium channel PPK6 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK31,PPK31,HillPPK31,XM_038064321.1,Hermetia illucens,Hill,PPK31,PPK,XP_037920249.1,XM_038064321.1,Pickpocket / degenerin / epithelial sodium channel PPK31 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK3,PPK3,HillPPK3,XM_038064647.1,Hermetia illucens,Hill,PPK3,PPK,XP_037920575.1,XM_038064647.1,Pickpocket / degenerin / epithelial sodium channel PPK3 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK28,PPK28,HillPPK28,XM_038068306.1,Hermetia illucens,Hill,PPK28,PPK,XP_037924234.1,XM_038068306.1,Pickpocket / degenerin / epithelial sodium channel PPK28 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK27,PPK27,HillPPK27,XM_038068307.1,Hermetia illucens,Hill,PPK27,PPK,XP_037924235.1,XM_038068307.1,Pickpocket / degenerin / epithelial sodium channel PPK27 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
