Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
DmelBrivido1,FBgn0036874_brivido1,,,Drosophila melanogaster,Dmel,Brivido1,TRP,,FBgn0036874,Transient receptor potential channel Brivido1 [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelBrivido2,FBgn0036712_brivido2,,,Drosophila melanogaster,Dmel,Brivido2,TRP,,FBgn0036712,Transient receptor potential channel Brivido2 [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelBrivido3,FBgn0040333_brivido3,,,Drosophila melanogaster,Dmel,Brivido3,TRP,,FBgn0040333,Transient receptor potential channel Brivido3 [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelNanchung,FBgn0036414_nanchung,,,Drosophila melanogaster,Dmel,Nanchung,TRP,,FBgn0036414,Transient receptor potential channel Nanchung [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelInactive,FBgn0086693_inactive,,,Drosophila melanogaster,Dmel,Inactive,TRP,,FBgn0086693,Transient receptor potential channel Inactive [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelPainless,FBgn0060296_painless,,,Drosophila melanogaster,Dmel,Painless,TRP,,FBgn0060296,Transient receptor potential channel Painless [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelNompC,FBgn0016920_nompC,,,Drosophila melanogaster,Dmel,NompC,TRP,,FBgn0016920,Transient receptor potential channel NompC [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelPkd2,FBgn0041195_pkd2,,,Drosophila melanogaster,Dmel,Pkd2,TRP,,FBgn0041195,Transient receptor potential channel Pkd2 [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelPyrexia,FBgn0035113_pyrexia,,,Drosophila melanogaster,Dmel,Pyrexia,TRP,,FBgn0035113,Transient receptor potential channel Pyrexia [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTRPA1,FBgn0035934_TRPA1,,,Drosophila melanogaster,Dmel,TRPA1,TRP,,FBgn0035934,Transient receptor potential channel TRPA1 [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTRPgamma,FBgn0032593_TRPgamma,,,Drosophila melanogaster,Dmel,TRPgamma,TRP,,FBgn0032593,Transient receptor potential channel TRPgamma [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTrp,FBgn0003861_trp,,,Drosophila melanogaster,Dmel,Trp,TRP,,FBgn0003861,Transient receptor potential channel Trp [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTrpl,FBgn0005614_trpl,,,Drosophila melanogaster,Dmel,Trpl,TRP,,FBgn0005614,Transient receptor potential channel Trpl [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTrpml,FBgn0262516_trpml,,,Drosophila melanogaster,Dmel,Trpml,TRP,,FBgn0262516,Transient receptor potential channel Trpml [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelTrpm,FBgn0265194_trpm,,,Drosophila melanogaster,Dmel,Trpm,TRP,,FBgn0265194,Transient receptor potential channel Trpm [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
DmelWtrw,FBgn0260005_wtrw,,,Drosophila melanogaster,Dmel,Wtrw,TRP,,FBgn0260005,Transient receptor potential channel Wtrw [Drosophila melanogaster]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,FlyBase
HillTRP73,TRP73,HillTRP73,XM_038046506.1,Hermetia illucens,Hill,TRP73,TRP,XP_037902434.1,XM_038046506.1,Transient receptor potential channel TRP73 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP78,TRP78,HillTRP78,XM_038046577.1,Hermetia illucens,Hill,TRP78,TRP,XP_037902434.1,XM_038046577.1,Transient receptor potential channel TRP78 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP49,TRP49,HillTRP49,XM_038047146.1,Hermetia illucens,Hill,TRP49,TRP,XP_037903074.1,XM_038047146.1,Transient receptor potential channel TRP49 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP48,TRP48,HillTRP48,XM_038047147.1,Hermetia illucens,Hill,TRP48,TRP,XP_037903075.1,XM_038047147.1,Transient receptor potential channel TRP48 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP74,TRP74,HillTRP74,XM_038047160.1,Hermetia illucens,Hill,TRP74,TRP,XP_037903088.1,XM_038047160.1,Transient receptor potential channel TRP74 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP77,TRP77,HillTRP77,XM_038047161.1,Hermetia illucens,Hill,TRP77,TRP,XP_037903089.1,XM_038047161.1,Transient receptor potential channel TRP77 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP75,TRP75,HillTRP75,XM_038047162.1,Hermetia illucens,Hill,TRP75,TRP,XP_037903090.1,XM_038047162.1,Transient receptor potential channel TRP75 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP15,TRP15,HillTRP15,XM_038048089.1,Hermetia illucens,Hill,TRP15,TRP,XP_037904017.1,XM_038048089.1,Transient receptor potential channel TRP15 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP18,TRP18,HillTRP18,XM_038048090.1,Hermetia illucens,Hill,TRP18,TRP,XP_037904018.1,XM_038048090.1,Transient receptor potential channel TRP18 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP19,TRP19,HillTRP19,XM_038048091.1,Hermetia illucens,Hill,TRP19,TRP,XP_037904018.1,XM_038048091.1,Transient receptor potential channel TRP19 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP17,TRP17,HillTRP17,XM_038048092.1,Hermetia illucens,Hill,TRP17,TRP,XP_037904018.1,XM_038048092.1,Transient receptor potential channel TRP17 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP14,TRP14,HillTRP14,XM_038048093.1,Hermetia illucens,Hill,TRP14,TRP,XP_037904018.1,XM_038048093.1,Transient receptor potential channel TRP14 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP5,TRP5,HillTRP5,XM_038048559.1,Hermetia illucens,Hill,TRP5,TRP,XP_037904487.1,XM_038048559.1,Transient receptor potential channel TRP5 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP40,TRP40,HillTRP40,XM_038048949.1,Hermetia illucens,Hill,TRP40,TRP,XP_037904877.1,XM_038048949.1,Transient receptor potential channel TRP40 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP46,TRP46,HillTRP46,XM_038048957.1,Hermetia illucens,Hill,TRP46,TRP,XP_037904885.1,XM_038048957.1,Transient receptor potential channel TRP46 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP39,TRP39,HillTRP39,XM_038048964.1,Hermetia illucens,Hill,TRP39,TRP,XP_037904892.1,XM_038048964.1,Transient receptor potential channel TRP39 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP44,TRP44,HillTRP44,XM_038048970.1,Hermetia illucens,Hill,TRP44,TRP,XP_037904898.1,XM_038048970.1,Transient receptor potential channel TRP44 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP61,TRP61,HillTRP61,XM_038048980.1,Hermetia illucens,Hill,TRP61,TRP,XP_037904908.1,XM_038048980.1,Transient receptor potential channel TRP61 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP58,TRP58,HillTRP58,XM_038048987.1,Hermetia illucens,Hill,TRP58,TRP,XP_037904915.1,XM_038048987.1,Transient receptor potential channel TRP58 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP57,TRP57,HillTRP57,XM_038048994.1,Hermetia illucens,Hill,TRP57,TRP,XP_037904922.1,XM_038048994.1,Transient receptor potential channel TRP57 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP6,TRP6,HillTRP6,XM_038049130.1,Hermetia illucens,Hill,TRP6,TRP,XP_037905058.1,XM_038049130.1,Transient receptor potential channel TRP6 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP23,TRP23,HillTRP23,XM_038049570.1,Hermetia illucens,Hill,TRP23,TRP,XP_037905498.1,XM_038049570.1,Transient receptor potential channel TRP23 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP60,TRP60,HillTRP60,XM_038049722.1,Hermetia illucens,Hill,TRP60,TRP,XP_037905650.1,XM_038049722.1,Transient receptor potential channel TRP60 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPA13,TRPA13,HillTRPA13,XM_038050283.1,Hermetia illucens,Hill,TRPA13,TRP,XP_037906211.1,XM_038050283.1,Transient receptor potential channel TRPA13 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPA1,TRPA1,HillTRPA1,XM_038052006.1,Hermetia illucens,Hill,TRPA1,TRP,XP_037906211.1,XM_038052006.1,Transient receptor potential channel TRPA1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRPA1_1,TRPA1_1,HillTRPA1_1,XM_038052007.1,Hermetia illucens,Hill,TRPA1_1,TRP,XP_037906211.1,XM_038052007.1,Transient receptor potential channel TRPA1_1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP35,TRP35,HillTRP35,XM_038053830.1,Hermetia illucens,Hill,TRP35,TRP,XP_037909758.1,XM_038053830.1,Transient receptor potential channel TRP35 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP26,TRP26,HillTRP26,XM_038053831.1,Hermetia illucens,Hill,TRP26,TRP,XP_037909759.1,XM_038053831.1,Transient receptor potential channel TRP26 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP32,TRP32,HillTRP32,XM_038053832.1,Hermetia illucens,Hill,TRP32,TRP,XP_037909760.1,XM_038053832.1,Transient receptor potential channel TRP32 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP31,TRP31,HillTRP31,XM_038053833.1,Hermetia illucens,Hill,TRP31,TRP,XP_037909761.1,XM_038053833.1,Transient receptor potential channel TRP31 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP30,TRP30,HillTRP30,XM_038053835.1,Hermetia illucens,Hill,TRP30,TRP,XP_037909763.1,XM_038053835.1,Transient receptor potential channel TRP30 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP24,TRP24,HillTRP24,XM_038054411.1,Hermetia illucens,Hill,TRP24,TRP,XP_037910339.1,XM_038054411.1,Transient receptor potential channel TRP24 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP28,TRP28,HillTRP28,XM_038054413.1,Hermetia illucens,Hill,TRP28,TRP,XP_037910341.1,XM_038054413.1,Transient receptor potential channel TRP28 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP1,TRP1,HillTRP1,XM_038055059.1,Hermetia illucens,Hill,TRP1,TRP,XP_037910987.1,XM_038055059.1,Transient receptor potential channel TRP1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP2,TRP2,HillTRP2,XM_038055060.1,Hermetia illucens,Hill,TRP2,TRP,XP_037910988.1,XM_038055060.1,Transient receptor potential channel TRP2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP_nompC2,TRP_nompC2,HillTRP_nompC2,XM_038055435.1,Hermetia illucens,Hill,TRP_nompC2,TRP,XP_037911363.1,XM_038055435.1,Transient receptor potential channel TRP_nompC2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP_nompC1,TRP_nompC1,HillTRP_nompC1,XM_038057006.1,Hermetia illucens,Hill,TRP_nompC1,TRP,XP_037912934.1,XM_038057006.1,Transient receptor potential channel TRP_nompC1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP10,TRP10,HillTRP10,XM_038057017.1,Hermetia illucens,Hill,TRP10,TRP,XP_037912945.1,XM_038057017.1,Transient receptor potential channel TRP10 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP7,TRP7,HillTRP7,XM_038057018.1,Hermetia illucens,Hill,TRP7,TRP,XP_037912946.1,XM_038057018.1,Transient receptor potential channel TRP7 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP8,TRP8,HillTRP8,XM_038057019.1,Hermetia illucens,Hill,TRP8,TRP,XP_037912947.1,XM_038057019.1,Transient receptor potential channel TRP8 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP11,TRP11,HillTRP11,XM_038057020.1,Hermetia illucens,Hill,TRP11,TRP,XP_037912948.1,XM_038057020.1,Transient receptor potential channel TRP11 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP9,TRP9,HillTRP9,XM_038057022.1,Hermetia illucens,Hill,TRP9,TRP,XP_037912950.1,XM_038057022.1,Transient receptor potential channel TRP9 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP71,TRP71,HillTRP71,XM_038057182.1,Hermetia illucens,Hill,TRP71,TRP,XP_037913110.1,XM_038057182.1,Transient receptor potential channel TRP71 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP70,TRP70,HillTRP70,XM_038057183.1,Hermetia illucens,Hill,TRP70,TRP,XP_037913111.1,XM_038057183.1,Transient receptor potential channel TRP70 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP68,TRP68,HillTRP68,XM_038057184.1,Hermetia illucens,Hill,TRP68,TRP,XP_037913112.1,XM_038057184.1,Transient receptor potential channel TRP68 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP69,TRP69,HillTRP69,XM_038057185.1,Hermetia illucens,Hill,TRP69,TRP,XP_037913113.1,XM_038057185.1,Transient receptor potential channel TRP69 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP66,TRP66,HillTRP66,XM_038057187.1,Hermetia illucens,Hill,TRP66,TRP,XP_037913115.1,XM_038057187.1,Transient receptor potential channel TRP66 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP67,TRP67,HillTRP67,XM_038057188.1,Hermetia illucens,Hill,TRP67,TRP,XP_037913116.1,XM_038057188.1,Transient receptor potential channel TRP67 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP65,TRP65,HillTRP65,XM_038057189.1,Hermetia illucens,Hill,TRP65,TRP,XP_037913117.1,XM_038057189.1,Transient receptor potential channel TRP65 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP63,TRP63,HillTRP63,XM_038057190.1,Hermetia illucens,Hill,TRP63,TRP,XP_037913118.1,XM_038057190.1,Transient receptor potential channel TRP63 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP64,TRP64,HillTRP64,XM_038057191.1,Hermetia illucens,Hill,TRP64,TRP,XP_037913119.1,XM_038057191.1,Transient receptor potential channel TRP64 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP62,TRP62,HillTRP62,XM_038057192.1,Hermetia illucens,Hill,TRP62,TRP,XP_037913120.1,XM_038057192.1,Transient receptor potential channel TRP62 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP79,TRP79,HillTRP79,XM_038057193.1,Hermetia illucens,Hill,TRP79,TRP,XP_037913121.1,XM_038057193.1,Transient receptor potential channel TRP79 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP80,TRP80,HillTRP80,XM_038057194.1,Hermetia illucens,Hill,TRP80,TRP,XP_037913122.1,XM_038057194.1,Transient receptor potential channel TRP80 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP84,TRP84,HillTRP84,XM_038057195.1,Hermetia illucens,Hill,TRP84,TRP,XP_037913123.1,XM_038057195.1,Transient receptor potential channel TRP84 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP29,TRP29,HillTRP29,XM_038059467.1,Hermetia illucens,Hill,TRP29,TRP,XP_037915395.1,XM_038059467.1,Transient receptor potential channel TRP29 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP12,TRP12,HillTRP12,XM_038059608.1,Hermetia illucens,Hill,TRP12,TRP,XP_037915536.1,XM_038059608.1,Transient receptor potential channel TRP12 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP41,TRP41,HillTRP41,XM_038061946.1,Hermetia illucens,Hill,TRP41,TRP,XP_037903090.1,XM_038061946.1,Transient receptor potential channel TRP41 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP47,TRP47,HillTRP47,XM_038061947.1,Hermetia illucens,Hill,TRP47,TRP,XP_037903090.1,XM_038061947.1,Transient receptor potential channel TRP47 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP43,TRP43,HillTRP43,XM_038061948.1,Hermetia illucens,Hill,TRP43,TRP,XP_037903090.1,XM_038061948.1,Transient receptor potential channel TRP43 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP38,TRP38,HillTRP38,XM_038061949.1,Hermetia illucens,Hill,TRP38,TRP,XP_037903090.1,XM_038061949.1,Transient receptor potential channel TRP38 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP36,TRP36,HillTRP36,XM_038061950.1,Hermetia illucens,Hill,TRP36,TRP,XP_037903090.1,XM_038061950.1,Transient receptor potential channel TRP36 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP45,TRP45,HillTRP45,XM_038061951.1,Hermetia illucens,Hill,TRP45,TRP,XP_037903090.1,XM_038061951.1,Transient receptor potential channel TRP45 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP42,TRP42,HillTRP42,XM_038061952.1,Hermetia illucens,Hill,TRP42,TRP,XP_037903090.1,XM_038061952.1,Transient receptor potential channel TRP42 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP72,TRP72,HillTRP72,XM_038061953.1,Hermetia illucens,Hill,TRP72,TRP,XP_037903090.1,XM_038061953.1,Transient receptor potential channel TRP72 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP34,TRP34,HillTRP34,XM_038065711.1,Hermetia illucens,Hill,TRP34,TRP,XP_037921639.1,XM_038065711.1,Transient receptor potential channel TRP34 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillTRP27,TRP27,HillTRP27,XM_038065712.1,Hermetia illucens,Hill,TRP27,TRP,XP_037921640.1,XM_038065712.1,Transient receptor potential channel TRP27 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
