Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
DmelOR43a,DmelOR43a,,,Drosophila melanogaster,Dmel,OR43a,OR,P81917.2,P81917.2,RecName: Full=Odorant receptor 43a,FlyBase/NCBI
DmelOR43b,DmelOR43b,,,Drosophila melanogaster,Dmel,OR43b,OR,P81918.3,P81918.3,RecName: Full=Odorant receptor 43b,FlyBase/NCBI
DmelOR45a,DmelOR45a,,,Drosophila melanogaster,Dmel,OR45a,OR,Q9V568.3,Q9V568.3,RecName: Full=Odorant receptor 45a,FlyBase/NCBI
DmelOR45b,DmelOR45b,,,Drosophila melanogaster,Dmel,OR45b,OR,Q9V589.1,Q9V589.1,RecName: Full=Odorant receptor 45b,FlyBase/NCBI
DmelOR46aA,DmelOR46aA,,,Drosophila melanogaster,Dmel,OR46aA,OR,NP_995794.1,NP_995794.1,"odorant receptor 46a, isoform A [Drosophila melanogaster]",FlyBase/NCBI
DmelOR46aB,DmelOR46aB,,,Drosophila melanogaster,Dmel,OR46aB,OR,NP_995794.1,NP_995794.1,"odorant receptor 46a, isoform A [Drosophila melanogaster]",FlyBase/NCBI
DmelOR47a,DmelOR47a,,,Drosophila melanogaster,Dmel,OR47a,OR,P81921.1,P81921.1,RecName: Full=Odorant receptor 47a,FlyBase/NCBI
DmelOR47b,DmelOR47b,,,Drosophila melanogaster,Dmel,OR47b,OR,P81922.2,P81922.2,RecName: Full=Odorant receptor 47b,FlyBase/NCBI
DmelOR49a,DmelOR49a,,,Drosophila melanogaster,Dmel,OR49a,OR,Q9V6A9.3,Q9V6A9.3,RecName: Full=Odorant receptor 49a,FlyBase/NCBI
DmelOR49b,DmelOR49b,,,Drosophila melanogaster,Dmel,OR49b,OR,Q9V6H2.1,Q9V6H2.1,RecName: Full=Odorant receptor 49b,FlyBase/NCBI
DmelOR56a,DmelOR56a,,,Drosophila melanogaster,Dmel,OR56a,OR,Q9V8Y7.2,Q9V8Y7.2,RecName: Full=Odorant receptor 56a,FlyBase/NCBI
DmelOR59a,DmelOR59a,,,Drosophila melanogaster,Dmel,OR59a,OR,P81923.2,P81923.2,RecName: Full=Odorant receptor 59a,FlyBase/NCBI
DmelOR59b,DmelOR59b,,,Drosophila melanogaster,Dmel,OR59b,OR,Q9W1P8.1,Q9W1P8.1,RecName: Full=Odorant receptor 59b,FlyBase/NCBI
DmelOR59c,DmelOR59c,,,Drosophila melanogaster,Dmel,OR59c,OR,Q9W1P7.1,Q9W1P7.1,RecName: Full=Putative odorant receptor 59c,FlyBase/NCBI
DmelOR63a,DmelOR63a,,,Drosophila melanogaster,Dmel,OR63a,OR,Q9VZW8.2,Q9VZW8.2,RecName: Full=Odorant receptor 63a,FlyBase/NCBI
DmelOR65a,DmelOR65a,,,Drosophila melanogaster,Dmel,OR65a,OR,P82982.1,P82982.1,RecName: Full=Odorant receptor 65a,FlyBase/NCBI
DmelOR65b,DmelOR65b,,,Drosophila melanogaster,Dmel,OR65b,OR,P82983.2,P82983.2,RecName: Full=Putative odorant receptor 65b,FlyBase/NCBI
DmelOR65c,DmelOR65c,,,Drosophila melanogaster,Dmel,OR65c,OR,P82984.2,P82984.2,RecName: Full=Putative odorant receptor 65c,FlyBase/NCBI
DmelOR67a,DmelOR67a,,,Drosophila melanogaster,Dmel,OR67a,OR,Q9VT08.2,Q9VT08.2,RecName: Full=Odorant receptor 67a,FlyBase/NCBI
DmelOR67b,DmelOR67b,,,Drosophila melanogaster,Dmel,OR67b,OR,Q9VT20.2,Q9VT20.2,RecName: Full=Odorant receptor 67b,FlyBase/NCBI
DmelOR67c,DmelOR67c,,,Drosophila melanogaster,Dmel,OR67c,OR,Q9VT90.2,Q9VT90.2,RecName: Full=Odorant receptor 67c,FlyBase/NCBI
DmelOR67d,DmelOR67d,,,Drosophila melanogaster,Dmel,OR67d,OR,Q9VT92.3,Q9VT92.3,RecName: Full=Odorant receptor 67d,FlyBase/NCBI
DmelOR69aA,DmelOR69aA,,,Drosophila melanogaster,Dmel,OR69aA,OR,NP_996070.1,NP_996070.1,"odorant receptor 69a, isoform A [Drosophila melanogaster]",FlyBase/NCBI
DmelOR69aB,DmelOR69aB,,,Drosophila melanogaster,Dmel,OR69aB,OR,NP_996070.1,NP_996070.1,"odorant receptor 69a, isoform A [Drosophila melanogaster]",FlyBase/NCBI
DmelOR71a,DmelOR71a,,,Drosophila melanogaster,Dmel,OR71a,OR,Q9VUK5.4,Q9VUK5.4,RecName: Full=Putative odorant receptor 71a,FlyBase/NCBI
DmelOR74a,DmelOR74a,,,Drosophila melanogaster,Dmel,OR74a,OR,Q9VVF3.1,Q9VVF3.1,RecName: Full=Odorant receptor 74a,FlyBase/NCBI
DmelOR82a,DmelOR82a,,,Drosophila melanogaster,Dmel,OR82a,OR,P82986.1,P82986.1,RecName: Full=Odorant receptor 82a,FlyBase/NCBI
DmelOR83a,DmelOR83a,,,Drosophila melanogaster,Dmel,OR83a,OR,Q9VNB3.2,Q9VNB3.2,RecName: Full=Odorant receptor 83a,FlyBase/NCBI
DmelOR83b,DmelOR83b,,,Drosophila melanogaster,Dmel,OR83b,OR,Q9VNB5.2,Q9VNB5.2,RecName: Full=Odorant receptor coreceptor; AltName: Full=Odorant receptor 83b,FlyBase/NCBI
DmelOR83c,DmelOR83c,,,Drosophila melanogaster,Dmel,OR83c,OR,Q9VNK9.2,Q9VNK9.2,RecName: Full=Putative odorant receptor 83c,FlyBase/NCBI
DmelOR85a,DmelOR85a,,,Drosophila melanogaster,Dmel,OR85a,OR,Q9VHS4.1,Q9VHS4.1,RecName: Full=Odorant receptor 85a,FlyBase/NCBI
DmelOR85b,DmelOR85b,,,Drosophila melanogaster,Dmel,OR85b,OR,Q9VHQ7.2,Q9VHQ7.2,RecName: Full=Odorant receptor 85b,FlyBase/NCBI
DmelOR85c,DmelOR85c,,,Drosophila melanogaster,Dmel,OR85c,OR,Q9VHQ6.2,Q9VHQ6.2,RecName: Full=Odorant receptor 85c,FlyBase/NCBI
DmelOR85d,DmelOR85d,,,Drosophila melanogaster,Dmel,OR85d,OR,Q9VHQ2.1,Q9VHQ2.1,RecName: Full=Putative odorant receptor 85d,FlyBase/NCBI
DmelOR85e,DmelOR85e,,,Drosophila melanogaster,Dmel,OR85e,OR,P81924.3,P81924.3,RecName: Full=Putative odorant receptor 85e,FlyBase/NCBI
DmelOR85f,DmelOR85f,,,Drosophila melanogaster,Dmel,OR85f,OR,Q9VHE6.1,Q9VHE6.1,RecName: Full=Odorant receptor 85f,FlyBase/NCBI
DmelOR88a,DmelOR88a,,,Drosophila melanogaster,Dmel,OR88a,OR,Q9VFN2.2,Q9VFN2.2,RecName: Full=Odorant receptor 88a,FlyBase/NCBI
DmelOR92a,DmelOR92a,,,Drosophila melanogaster,Dmel,OR92a,OR,Q9VDM1.3,Q9VDM1.3,RecName: Full=Putative odorant receptor 92a,FlyBase/NCBI
DmelOR94a,DmelOR94a,,,Drosophila melanogaster,Dmel,OR94a,OR,Q9VCS9.1,Q9VCS9.1,RecName: Full=Odorant receptor 94a,FlyBase/NCBI
DmelOR94b,DmelOR94b,,,Drosophila melanogaster,Dmel,OR94b,OR,Q9VCS8.1,Q9VCS8.1,RecName: Full=Odorant receptor 94b,FlyBase/NCBI
DmelOR98a,DmelOR98a,,,Drosophila melanogaster,Dmel,OR98a,OR,Q9VAZ3.2,Q9VAZ3.2,RecName: Full=Odorant receptor 98a,FlyBase/NCBI
DmelOR98b,DmelOR98b,,,Drosophila melanogaster,Dmel,OR98b,OR,Q9VAW0.3,Q9VAW0.3,RecName: Full=Putative odorant receptor 98b,FlyBase/NCBI
CstyOR120,CstyOR120,,,Calliphora stygia,Csty,OR120,OR,KJ702096.1,KJ702096.1,Calliphora stygia OR gene OR120 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR119,CstyOR119,,,Calliphora stygia,Csty,OR119,OR,KJ702095.1,KJ702095.1,Calliphora stygia OR gene OR119 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR118,CstyOR118,,,Calliphora stygia,Csty,OR118,OR,KJ702094.1,KJ702094.1,Calliphora stygia OR gene OR118 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR117,CstyOR117,,,Calliphora stygia,Csty,OR117,OR,KJ702093.1,KJ702093.1,Calliphora stygia OR gene OR117 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR1159,CstyOR1159,,,Calliphora stygia,Csty,OR1159,OR,KJ702091.1,KJ702091.1,Calliphora stygia OR gene OR1159 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR113-114,CstyOR113-114,,,Calliphora stygia,Csty,OR113-114,OR,KJ702089.1,"KJ702089.1, KJ702090.1",Calliphora stygia OR gene OR113-114 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR111,CstyOR111,,,Calliphora stygia,Csty,OR111,OR,KJ702087.1,KJ702087.1,Calliphora stygia OR gene OR111 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR110,CstyOR110,,,Calliphora stygia,Csty,OR110,OR,KJ702086.1,KJ702086.1,Calliphora stygia OR gene OR110 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR112,CstyOR112,,,Calliphora stygia,Csty,OR112,OR,KJ702088.1,KJ702088.1,Calliphora stygia OR gene OR112 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR108,CstyOR108,,,Calliphora stygia,Csty,OR108,OR,KJ702084.1,KJ702084.1,Calliphora stygia OR gene OR108 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR109,CstyOR109,,,Calliphora stygia,Csty,OR109,OR,KJ702085.1,KJ702085.1,Calliphora stygia OR gene OR109 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR107,CstyOR107,,,Calliphora stygia,Csty,OR107,OR,KJ702083.1,KJ702083.1,Calliphora stygia OR gene OR107 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR106,CstyOR106,,,Calliphora stygia,Csty,OR106,OR,KJ702082.1,KJ702082.1,Calliphora stygia OR gene OR106 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR104-105,CstyOR104-105,,,Calliphora stygia,Csty,OR104-105,OR,KJ702080.1,"KJ702080.1, KJ702081.1",Calliphora stygia OR gene OR104-105 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR88a,CstyOR88a,,,Calliphora stygia,Csty,OR88a,OR,KJ702074.1,KJ702074.1,Calliphora stygia OR gene OR88a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR85b,CstyOR85b,,,Calliphora stygia,Csty,OR85b,OR,KJ702073.1,KJ702073.1,Calliphora stygia OR gene OR85b (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR83a.2,CstyOR83a.2,,,Calliphora stygia,Csty,OR83a.2,OR,KJ702072.1,KJ702072.1,Calliphora stygia OR gene OR83a.2 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR83a.1,CstyOR83a.1,,,Calliphora stygia,Csty,OR83a.1,OR,KJ702071.1,KJ702071.1,Calliphora stygia OR gene OR83a.1 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR82a,CstyOR82a,,,Calliphora stygia,Csty,OR82a,OR,KJ702070.1,KJ702070.1,Calliphora stygia OR gene OR82a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR74a,CstyOR74a,,,Calliphora stygia,Csty,OR74a,OR,KJ702069.1,KJ702069.1,Calliphora stygia OR gene OR74a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR69a,CstyOR69a,,,Calliphora stygia,Csty,OR69a,OR,KJ702068.1,KJ702068.1,Calliphora stygia OR gene OR69a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR67d,CstyOR67d,,,Calliphora stygia,Csty,OR67d,OR,KJ702067.1,KJ702067.1,Calliphora stygia OR gene OR67d (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR67c,CstyOR67c,,,Calliphora stygia,Csty,OR67c,OR,KJ702066.1,KJ702066.1,Calliphora stygia OR gene OR67c (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR63a,CstyOR63a,,,Calliphora stygia,Csty,OR63a,OR,KJ702065.1,KJ702065.1,Calliphora stygia OR gene OR63a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR59a.1-2,CstyOR59a.1-2,,,Calliphora stygia,Csty,OR59a.1-2,OR,KJ702063.1,"KJ702063.1, KJ702064.1",Calliphora stygia OR gene OR59a.1-2 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR56a,CstyOR56a,,,Calliphora stygia,Csty,OR56a,OR,KJ702062.1,KJ702062.1,Calliphora stygia OR gene OR56a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR49b,CstyOR49b,,,Calliphora stygia,Csty,OR49b,OR,KJ702061.1,KJ702061.1,Calliphora stygia OR gene OR49b (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR47b,CstyOR47b,,,Calliphora stygia,Csty,OR47b,OR,KJ702059.1,KJ702059.1,Calliphora stygia OR gene OR47b (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR49a,CstyOR49a,,,Calliphora stygia,Csty,OR49a,OR,KJ702060.1,KJ702060.1,Calliphora stygia OR gene OR49a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR43a.2,CstyOR43a.2,,,Calliphora stygia,Csty,OR43a.2,OR,KJ702057.1,KJ702057.1,Calliphora stygia OR gene OR43a.2 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR46a,CstyOR46a,,,Calliphora stygia,Csty,OR46a,OR,KJ702058.1,KJ702058.1,Calliphora stygia OR gene OR46a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR43a.1,CstyOR43a.1,,,Calliphora stygia,Csty,OR43a.1,OR,KJ702056.1,KJ702056.1,Calliphora stygia OR gene OR43a.1 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR30a.2,CstyOR30a.2,,,Calliphora stygia,Csty,OR30a.2,OR,KJ702054.1,KJ702054.1,Calliphora stygia OR gene OR30a.2 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR30a.1,CstyOR30a.1,,,Calliphora stygia,Csty,OR30a.1,OR,KJ702053.1,KJ702053.1,Calliphora stygia OR gene OR30a.1 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR42b,CstyOR42b,,,Calliphora stygia,Csty,OR42b,OR,KJ702055.1,KJ702055.1,Calliphora stygia OR gene OR42b (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR10a,CstyOR10a,,,Calliphora stygia,Csty,OR10a,OR,KJ702051.1,KJ702051.1,Calliphora stygia OR gene OR10a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR7a.2,CstyOR7a.2,,,Calliphora stygia,Csty,OR7a.2,OR,KJ702050.1,KJ702050.1,Calliphora stygia OR gene OR7a.2 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR13a,CstyOR13a,,,Calliphora stygia,Csty,OR13a,OR,KJ702052.1,KJ702052.1,Calliphora stygia OR gene OR13a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR2a,CstyOR2a,,,Calliphora stygia,Csty,OR2a,OR,KJ702048.1,KJ702048.1,Calliphora stygia OR gene OR2a (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyORco,CstyORco,,,Calliphora stygia,Csty,ORco,OR,KJ702047.1,KJ702047.1,Calliphora stygia OR gene ORco (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
CstyOR7a.1,CstyOR7a.1,,,Calliphora stygia,Csty,OR7a.1,OR,KJ702049.1,KJ702049.1,Calliphora stygia OR gene OR7a.1 (Leitch et al. 2015),Leitch et al. 2015 BMC Genomics (PMC4392625; GenBank KJ702047–KJ702174)
MdomORco,MdomORco,,,Musca domestica,Mdom,ORco,OR,AFH96944.1,AFH96944.1,odorant receptor co-receptor [Musca domestica],NCBI (Musca domestica genome; gene names follow Drosophila nomenclature)
MdomOR1,MdomOR1,,,Musca domestica,Mdom,OR1,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR2,MdomOR2,,,Musca domestica,Mdom,OR2,OR,XP_058976376.1,XP_058976376.1,odorant receptor Or2-like [Musca domestica],NCBI (Musca domestica genome; gene names follow Drosophila nomenclature)
MdomOR3,MdomOR3,,,Musca domestica,Mdom,OR3,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR4,MdomOR4,,,Musca domestica,Mdom,OR4,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR5,MdomOR5,,,Musca domestica,Mdom,OR5,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR6,MdomOR6,,,Musca domestica,Mdom,OR6,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR8,MdomOR8,,,Musca domestica,Mdom,OR8,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR9,MdomOR9,,,Musca domestica,Mdom,OR9,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR10,MdomOR10,,,Musca domestica,Mdom,OR10,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR11,MdomOR11,,,Musca domestica,Mdom,OR11,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR12,MdomOR12,,,Musca domestica,Mdom,OR12,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR13,MdomOR13,,,Musca domestica,Mdom,OR13,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR14,MdomOR14,,,Musca domestica,Mdom,OR14,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR15,MdomOR15,,,Musca domestica,Mdom,OR15,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR16,MdomOR16,,,Musca domestica,Mdom,OR16,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR17,MdomOR17,,,Musca domestica,Mdom,OR17,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR18,MdomOR18,,,Musca domestica,Mdom,OR18,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR19,MdomOR19,,,Musca domestica,Mdom,OR19,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomOR21,MdomOR21,,,Musca domestica,Mdom,OR21,OR,,,Musca domestica olfactory receptor; nomenclature follows Drosophila orthologs. Source: Wanner et al. 2007 Insect Biochem Mol Biol / NCBI RefSeq GCA_000371365.1,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
